role,assistant_axis_score__alpha_1.0,assistant_axis_cmp_emotional_register__alpha_1.0,assistant_axis_cmp_vocab_choice__alpha_1.0,assistant_axis_cmp_social_dynamic__alpha_1.0,assistant_axis_cmp_motivation__alpha_1.0,assistant_axis_cmp_worldview_alignment__alpha_1.0,assistant_axis_score__alpha_1.5,assistant_axis_cmp_emotional_register__alpha_1.5,assistant_axis_cmp_vocab_choice__alpha_1.5,assistant_axis_cmp_social_dynamic__alpha_1.5,assistant_axis_cmp_motivation__alpha_1.5,assistant_axis_cmp_worldview_alignment__alpha_1.5,assistant_axis_score__alpha_2.0,assistant_axis_cmp_emotional_register__alpha_2.0,assistant_axis_cmp_vocab_choice__alpha_2.0,assistant_axis_cmp_social_dynamic__alpha_2.0,assistant_axis_cmp_motivation__alpha_2.0,assistant_axis_cmp_worldview_alignment__alpha_2.0,assistant_axis_score__alpha_2.5,assistant_axis_cmp_emotional_register__alpha_2.5,assistant_axis_cmp_vocab_choice__alpha_2.5,assistant_axis_cmp_social_dynamic__alpha_2.5,assistant_axis_cmp_motivation__alpha_2.5,assistant_axis_cmp_worldview_alignment__alpha_2.5
aberration,28.600877192982455,9.276315789473685,23.92543859649123,21.11842105263158,17.412280701754387,9.210526315789474,31.49561403508772,9.166666666666666,23.289473684210527,20.855263157894736,18.88157894736842,10.043859649122806,24.885964912280702,6.447368421052632,17.19298245614035,17.36842105263158,18.486842105263158,9.166666666666666,13.267543859649123,3.3552631578947367,10.06578947368421,8.903508771929825,12.083333333333334,5.228070175438597
absurdist,30.81140350877193,9.868421052631579,19.18859649122807,22.87280701754386,17.478070175438596,7.3464912280701755,34.521929824561404,12.543859649122806,21.162280701754387,25.0,22.19298245614035,10.043859649122806,41.16228070175438,15.109649122807017,22.69736842105263,26.62280701754386,27.45614035087719,13.442982456140351,23.50438596491228,10.81140350877193,10.855263157894736,13.771929824561404,19.166666666666668,11.118421052631579
accountant,61.6140350877193,54.078947368421055,61.40350877192982,52.56578947368421,54.95614035087719,51.271929824561404,61.93859649122807,59.4078947368421,62.675438596491226,57.21491228070175,61.271929824561404,57.25877192982456,42.90350877192982,38.574561403508774,42.14912280701754,38.55263157894737,47.56578947368421,43.46491228070175,14.868421052631579,14.56140350877193,13.969298245614034,14.320175438596491,21.864035087719298,17.5
activist,56.60262008733624,43.23144104803494,59.10480349344978,48.38427947598253,47.94759825327511,46.200873362445414,61.44978165938865,46.943231441048034,59.19213973799127,51.76855895196506,53.47161572052402,51.419213973799124,53.23144104803494,36.5938864628821,45.58951965065502,40.327510917030565,49.78165938864629,47.11790393013101,19.539473684210527,15.986842105263158,19.32017543859649,16.710526315789473,26.359649122807017,23.81578947368421
actor,40.64473684210526,37.083333333333336,48.44298245614035,41.00877192982456,48.88157894736842,44.03508771929825,43.10964912280702,38.24561403508772,47.675438596491226,42.41228070175438,53.20175438596491,48.026315789473685,30.99561403508772,24.846491228070175,31.82017543859649,28.092105263157894,43.35526315789474,38.37719298245614,16.31578947368421,13.399122807017545,15.50438596491228,15.570175438596491,29.714912280701753,23.728070175438596
addict,37.620087336244545,22.00873362445415,30.87336244541485,25.633187772925766,23.406113537117903,20.17467248908297,42.157205240174676,26.375545851528383,34.82532751091703,30.152838427947597,28.427947598253276,24.716157205240176,44.427947598253276,22.270742358078603,27.336244541484717,25.851528384279476,29.23580786026201,25.21834061135371,26.030701754385966,14.342105263157896,14.956140350877194,15.197368421052632,22.763157894736842,17.93859649122807
adolescent,43.60262008733624,34.86899563318777,33.53711790393013,33.580786026200876,45.9825327510917,41.943231441048034,48.66375545851528,43.90829694323144,44.301310043668124,40.74235807860262,56.222707423580786,52.00873362445415,43.76419213973799,39.60698689956332,35.6768558951965,38.646288209606986,59.03930131004367,54.41048034934498,32.58771929824562,29.890350877192983,23.771929824561404,28.530701754385966,48.61842105263158,42.25877192982456
advocate,71.16228070175438,45.30701754385965,61.9078947368421,49.75877192982456,51.60087719298246,49.49561403508772,71.53070175438596,47.521929824561404,61.666666666666664,51.75438596491228,56.14035087719298,53.00438596491228,55.88157894736842,34.166666666666664,43.70614035087719,37.675438596491226,46.35964912280702,41.99561403508772,17.69736842105263,13.552631578947368,15.570175438596491,14.166666666666666,19.517543859649123,15.855263157894736
alien,36.56578947368421,19.62719298245614,30.021929824561404,29.05701754385965,34.03508771929825,20.285087719298247,38.583333333333336,21.600877192982455,30.833333333333332,31.228070175438596,37.719298245614034,23.92543859649123,30.92543859649123,14.320175438596491,22.850877192982455,24.013157894736842,34.95614035087719,20.04385964912281,16.11842105263158,6.798245614035087,10.219298245614034,11.732456140350877,24.42982456140351,11.776315789473685
altruist,58.48471615720524,41.11353711790393,54.56331877729258,45.698689956331876,47.48908296943232,45.72052401746725,75.86899563318778,49.366812227074234,65.3056768558952,57.096069868995635,55.87336244541485,54.06113537117904,68.4585152838428,40.93886462882096,49.97816593886463,46.375545851528386,52.35807860262009,49.366812227074234,25.74561403508772,19.56140350877193,22.56578947368421,21.00877192982456,32.171052631578945,28.04824561403509
