alpha,method,beh_distance,rsa_spearman,mantel_p,n_roles
1.0,steered,corr,0.08506515548417784,0.006,275
1.0,steered,l2,0.1965047190412318,0.0005,275
1.0,assistant_axis,corr,0.08204622663926057,0.0045,275
1.0,assistant_axis,l2,0.16553599271639383,0.0005,275
1.5,steered,corr,0.09147676411608453,0.004,275
1.5,steered,l2,0.20620272956831354,0.0005,275
1.5,assistant_axis,corr,0.07916887322941595,0.0035,275
1.5,assistant_axis,l2,0.16362241578037579,0.0005,275
2.0,steered,corr,0.12035523371999389,0.0005,275
2.0,steered,l2,0.19541461893399756,0.0005,275
2.0,assistant_axis,corr,0.13571562774702942,0.0005,275
2.0,assistant_axis,l2,0.11076342599062867,0.0005,275
2.5,steered,corr,0.17921444874610637,0.0005,275
2.5,steered,l2,0.16967578292376517,0.0005,275
2.5,assistant_axis,corr,0.18900494678688817,0.0005,275
2.5,assistant_axis,l2,0.12384626815567668,0.0005,275
