role,steered_peak_alpha,steered_peak_score,aa_peak_alpha,aa_peak_score,peak_advantage,steered_wins
aberration,2.5,66.58771929824562,1.5,31.49561403508772,35.0921052631579,True
absurdist,2.5,50.8640350877193,2.0,41.16228070175438,9.701754385964918,True
accountant,2.0,61.8421052631579,1.5,61.93859649122807,-0.09649122807017108,False
activist,2.5,62.53947368421053,1.5,61.44978165938865,1.089692024821879,True
actor,2.5,74.66666666666667,1.5,43.10964912280702,31.55701754385965,True
addict,2.5,75.49122807017544,2.0,44.42794759825328,31.063280471922155,True
adolescent,2.5,79.70614035087719,1.5,48.66375545851528,31.04238489236191,True
advocate,2.0,80.48684210526316,1.5,71.53070175438596,8.956140350877206,True
alien,2.5,76.19298245614036,1.5,38.583333333333336,37.60964912280702,True
altruist,2.0,75.24454148471615,1.5,75.86899563318778,-0.624454148471628,False
amateur,2.5,89.09649122807018,1.5,69.64473684210526,19.451754385964918,True
ambassador,1.5,70.41228070175438,1.0,71.03070175438596,-0.6184210526315752,False
amnesiac,2.5,79.15350877192982,1.5,43.16666666666666,35.986842105263165,True
analyst,1.0,86.3201754385965,1.0,85.9342105263158,0.3859649122806985,True
anarchist,2.5,57.3421052631579,1.5,34.01315789473684,23.328947368421055,True
ancient,2.5,51.083333333333336,1.5,48.1140350877193,2.969298245614034,True
angel,2.5,89.60087719298245,1.5,71.49561403508773,18.105263157894726,True
anthropologist,2.5,75.2280701754386,1.5,61.10087719298246,14.127192982456144,True
archaeologist,2.5,58.15350877192982,1.5,42.73245614035088,15.421052631578945,True
architect,2.5,58.49561403508772,1.5,56.38864628820961,2.1069677468781123,True
archivist,2.5,78.8640350877193,1.5,52.10526315789474,26.75877192982456,True
artisan,2.5,81.68859649122807,1.5,58.17903930131004,23.509557189918027,True
ascetic,2.5,42.00438596491228,1.5,42.925438596491226,-0.9210526315789451,False
assistant,1.0,94.7061403508772,1.0,93.46052631578948,1.2456140350877263,True
auctioneer,2.5,68.84210526315789,1.5,35.15350877192982,33.68859649122807,True
auditor,2.5,67.60526315789474,1.5,65.15350877192982,2.451754385964918,True
avatar,2.5,87.10526315789474,1.5,60.86842105263158,26.236842105263158,True
bard,2.5,68.56140350877193,2.0,59.98245614035088,8.578947368421055,True
bartender,2.5,79.8157894736842,1.5,48.84649122807018,30.969298245614027,True
biologist,2.5,60.93859649122807,1.0,56.29385964912281,4.64473684210526,True
blogger,2.5,86.26754385964912,1.0,71.59210526315789,14.675438596491233,True
bohemian,2.5,72.89035087719299,2.0,60.3640350877193,12.526315789473685,True
builder,2.5,82.39035087719299,1.5,63.84649122807018,18.54385964912281,True
caregiver,2.0,79.34497816593887,1.5,75.20524017467248,4.1397379912663865,True
cartographer,2.5,65.35087719298245,1.5,44.60087719298246,20.749999999999993,True
caveman,2.5,49.219298245614034,2.0,17.583333333333332,31.635964912280702,True
celebrity,2.5,69.52838427947599,1.5,43.45175438596491,26.076629893511075,True
chameleon,2.5,81.69736842105263,1.5,48.10087719298246,33.59649122807017,True
chef,2.5,47.31441048034935,1.5,34.3231441048035,12.991266375545855,True
chemist,2.5,61.31877729257642,1.5,53.219298245614034,8.099479046962387,True
chimera,2.5,86.8640350877193,1.5,46.95175438596491,39.91228070175439,True
coach,1.0,90.20175438596492,1.0,89.58333333333333,0.6184210526315894,True
collaborator,1.5,90.23245614035088,1.0,89.53508771929825,0.6973684210526301,True
collector,2.5,65.02631578947368,1.5,45.29824561403509,19.728070175438596,True
comedian,2.5,74.91228070175438,1.5,40.64473684210526,34.26754385964912,True
competitor,2.5,81.0701754385965,1.5,56.04824561403509,25.021929824561404,True
composer,2.5,60.10526315789474,1.5,42.49122807017544,17.6140350877193,True
conservator,1.5,49.7280701754386,1.5,51.12719298245614,-1.3991228070175339,False
consultant,1.0,89.16666666666667,1.0,88.64912280701755,0.5175438596491233,True
contrarian,2.5,69.8859649122807,1.5,46.60964912280702,23.276315789473678,True
coordinator,1.5,82.64473684210526,1.5,83.40350877192982,-0.7587719298245617,False
coral_reef,2.5,91.00438596491227,1.5,61.42105263157895,29.58333333333332,True
cosmopolitan,2.0,82.46929824561404,1.0,78.9780701754386,3.4912280701754383,True
counselor,1.5,80.86842105263158,1.5,84.84210526315789,-3.973684210526315,False
criminal,2.5,75.4780701754386,1.5,27.36842105263158,48.10964912280703,True
critic,2.5,74.88646288209607,1.0,54.86026200873363,20.02620087336244,True
crystalline,2.5,90.64473684210526,1.5,65.9780701754386,24.666666666666657,True
curator,2.5,62.833333333333336,1.0,58.13157894736842,4.701754385964918,True
cyborg,2.5,87.51315789473684,1.5,45.29824561403509,42.214912280701746,True
cynic,2.5,67.48684210526316,1.5,40.39912280701754,27.087719298245624,True
daredevil,2.5,82.80701754385964,1.5,43.94298245614035,38.864035087719294,True
debugger,2.5,73.36842105263158,1.0,59.578947368421055,13.78947368421052,True
demon,2.5,69.76754385964912,1.5,30.81578947368421,38.95175438596492,True
designer,2.5,74.68859649122807,1.0,62.57456140350877,12.114035087719301,True
destroyer,2.5,70.71929824561404,1.5,34.04385964912281,36.67543859649123,True
detective,2.5,74.64912280701755,1.5,48.530701754385966,26.118421052631582,True
devils_advocate,2.5,80.74122807017544,1.0,49.41666666666666,31.32456140350878,True
dilettante,2.5,86.3157894736842,1.5,56.1578947368421,30.157894736842103,True
dispatcher,2.0,65.86842105263158,1.5,64.21929824561404,1.6491228070175339,True
divorcee,2.5,68.08333333333333,1.5,50.64473684210526,17.43859649122807,True
doctor,1.5,60.61572052401747,1.5,65.2707423580786,-4.655021834061138,False
dreamer,2.5,88.94736842105263,1.5,58.60964912280702,30.33771929824561,True
echo,2.5,89.79385964912281,1.5,67.75877192982456,22.035087719298247,True
economist,1.5,59.76315789473684,1.5,59.72368421052632,0.03947368421052033,True
ecosystem,2.5,73.77631578947368,1.5,51.4078947368421,22.368421052631582,True
editor,1.5,68.39035087719299,1.0,63.46491228070175,4.925438596491233,True
egregore,2.5,79.85087719298245,1.5,32.23684210526316,47.614035087719294,True
elder,2.5,73.37719298245614,1.5,62.01754385964912,11.359649122807014,True
eldritch,2.5,81.14473684210526,1.5,28.767543859649123,52.37719298245614,True
emissary,2.5,79.37280701754386,1.5,76.68859649122807,2.6842105263157947,True
empath,2.5,79.89082969432314,1.5,72.02620087336244,7.864628820960704,True
engineer,2.5,81.80263157894737,1.0,74.82894736842105,6.973684210526315,True
entrepreneur,2.5,83.4298245614035,1.5,72.75877192982456,10.671052631578945,True
evaluator,1.0,88.65350877192982,1.0,88.38157894736842,0.271929824561397,True
evangelist,2.5,78.54824561403508,1.5,66.73684210526316,11.811403508771917,True
examiner,1.0,83.49561403508773,1.0,84.08333333333333,-0.5877192982456023,False
exile,2.5,61.530701754385966,1.5,39.30701754385965,22.223684210526315,True
expatriate,2.5,79.0219298245614,1.5,57.28947368421053,21.73245614035087,True
facilitator,1.0,87.59649122807018,1.0,87.46929824561404,0.12719298245613686,True
familiar,2.5,88.50877192982456,1.5,62.85087719298246,25.657894736842103,True
