rank_index,singular_value,variance_share,cumulative_variance
1,73.7018341761329,0.8230242971101355,0.8230242971101355
2,27.285340044213715,0.11280148201946495,0.9358257791296004
3,15.359577986799131,0.03574494483827196,0.9715707239678724
4,9.252969491442416,0.012972340062056846,0.9845430640299292
5,5.7912931213306855,0.005081678184420674,0.9896247422143498
6,4.321769172522192,0.0028299528455402374,0.99245469505989
7,3.985509990441159,0.0024067105884709606,0.994861405648361
8,3.7830288674721024,0.0021683799109286526,0.9970297855592897
9,2.288445115365154,0.0007934819766726228,0.9978232675359623
10,2.004623890832969,0.0006088662035907321,0.998432133739553
11,1.6572437860358051,0.0004161298433870673,0.99884826358294
12,1.5147261548385138,0.0003476356551745706,0.9991958992381146
13,1.4189116337353427,0.0003050470036893575,0.999500946241804
14,0.8453773706004765,0.00010828225738234359,0.9996092284991863
15,0.8286460181682248,0.00010403851870093071,0.9997132670178872
16,0.6358273364985774,6.125400027862537e-05,0.9997745210181659
17,0.5897681965120549,5.2700988729867694e-05,0.9998272220068958
18,0.5402644442542522,4.42251014735445e-05,0.9998714471083693
19,0.4994620587116672,3.779732546856502e-05,0.9999092444338379
20,0.4354270140722818,2.872677039150418e-05,0.9999379712042293
21,0.39956896081707893,2.4190205219463788e-05,0.9999621614094488
22,0.34958293250210776,1.851639798436197e-05,0.9999806778074332
23,0.2752802566579628,1.1481699955406616e-05,0.9999921595073885
24,0.2274802216298842,7.840492611028474e-06,0.9999999999999996
