dimension,vector,α=1 score,α=1 Δ,α=1.5 score,α=1.5 Δ,α=2 score,α=2 Δ,α=2.5 score,α=2.5 Δ
Overall Role Alignment,steered (ours),55.756266835683725,,59.64382259265715,3.887555756973427,65.95772259812699,6.31390000546984,71.8697229969574,5.912000398830415
Overall Role Alignment,assistant_axis,51.80156868958961,,53.57895070433694,1.7773820147473316,42.17191436766127,-11.407036336675667,17.34471665821501,-24.827197709446263
Emotional Register,steered (ours),42.94653779115829,,47.57706507788112,4.630527286722831,52.677246581203356,5.100181503322233,56.159181668357,3.4819350871536443
Emotional Register,assistant_axis,40.54829662494058,,42.611846170910646,2.063549545970062,30.799404186540322,-11.812441984370324,13.679323022312373,-17.120081164227948
Vocab Choice,steered (ours),50.29112660434163,,52.107417325579554,1.8162907212379267,53.79453943302645,1.6871221074468963,54.308443204868155,0.5139037718417043
Vocab Choice,assistant_axis,50.166281096498174,,51.056251881665055,0.8899707851668808,36.67238182768948,-14.383870053975578,15.318078093306289,-21.354303734383187
Social Dynamic,steered (ours),44.46390429408969,,47.99039756611577,3.52649327202608,51.850745559129734,3.860347993013967,54.17414110040568,2.323395541275943
Social Dynamic,assistant_axis,43.13178577087625,,45.33958706365178,2.207801292775528,33.83892436655205,-11.500662697099727,15.339978448275861,-18.49894591827619
Motivation,steered (ours),49.44576136903819,,54.3035541681852,4.857792799147013,59.34338504444832,5.039830876263117,62.085699797160245,2.742314752711927
Motivation,assistant_axis,47.91739819363017,,51.53046316690171,3.613064973271541,44.88754020948548,-6.642922957416232,24.41569472616633,-20.47184548331915
Worldview Alignment,steered (ours),44.073459039771826,,48.659684038726645,4.586224998954819,53.59270762355999,4.933023584833343,56.67333291075051,3.0806252871905215
Worldview Alignment,assistant_axis,42.58168277610521,,45.730307880017115,3.148625103911904,38.46240512146038,-7.267902758556737,18.786067444219068,-19.67633767724131
