role,steered_vec_norm,axis_vec_norm
aberration,3.788794994354248,9.898561477661133
absurdist,3.459686279296875,9.17828369140625
accountant,3.4523098468780518,9.734508514404297
activist,3.500443458557129,10.006197929382324
actor,3.4977238178253174,9.554596900939941
addict,4.5024733543396,9.974052429199219
adolescent,3.775885581970215,9.718840599060059
advocate,4.236433029174805,9.873412132263184
alien,4.189554691314697,9.736311912536621
altruist,3.593801975250244,10.071878433227539
amateur,3.1571643352508545,9.699572563171387
ambassador,3.9017210006713867,9.888418197631836
amnesiac,4.1106061935424805,9.668919563293457
analyst,3.5320725440979004,9.385099411010742
anarchist,3.876178026199341,9.986597061157227
ancient,3.9697999954223633,9.776107788085938
angel,4.3454155921936035,9.859015464782715
anthropologist,3.6761772632598877,10.038579940795898
archaeologist,3.410331964492798,9.798602104187012
architect,3.2971901893615723,9.718390464782715
archivist,3.833325147628784,9.96977710723877
artisan,3.7969985008239746,9.866312026977539
ascetic,3.533341646194458,9.917798042297363
assistant,3.498568534851074,9.500707626342773
auctioneer,4.37923526763916,9.280939102172852
auditor,3.5493264198303223,9.81173038482666
avatar,4.169680595397949,9.788220405578613
bard,3.566101312637329,9.237072944641113
bartender,4.524214744567871,9.331327438354492
biologist,3.3239645957946777,9.799144744873047
blogger,3.173158884048462,9.64445686340332
bohemian,3.83817458152771,9.474867820739746
builder,3.746767520904541,9.648876190185547
caregiver,4.5080790519714355,9.9364013671875
cartographer,3.776453733444214,9.650650024414062
caveman,4.436631679534912,9.152538299560547
celebrity,3.796665906906128,9.87605094909668
chameleon,3.6833598613739014,9.677581787109375
chef,4.080557346343994,9.570302963256836
chemist,3.3404603004455566,8.795262336730957
chimera,4.02764368057251,9.654399871826172
coach,4.1718645095825195,9.45862102508545
collaborator,3.591310501098633,9.77478313446045
collector,3.2994987964630127,9.881830215454102
comedian,3.7366127967834473,8.82481575012207
competitor,3.9928643703460693,9.751287460327148
composer,3.44222354888916,9.907720565795898
conservator,3.8020236492156982,9.857365608215332
consultant,3.5762739181518555,9.418915748596191
contrarian,3.4793078899383545,9.715944290161133
coordinator,4.01427698135376,9.73344612121582
coral_reef,3.8589999675750732,9.700037956237793
cosmopolitan,3.577693223953247,9.78635311126709
counselor,3.628220319747925,10.01778507232666
criminal,4.276796340942383,9.746966361999512
critic,3.5288519859313965,9.997689247131348
crystalline,4.569005012512207,9.80678939819336
curator,3.716697931289673,9.655964851379395
cyborg,3.984527111053467,9.741432189941406
cynic,3.8742291927337646,9.643373489379883
daredevil,4.674610137939453,9.346366882324219
debugger,3.9052720069885254,9.49770736694336
default,,9.47342300415039
demon,4.021988391876221,9.373661041259766
designer,3.4023194313049316,9.711075782775879
destroyer,4.357910633087158,9.86396312713623
detective,3.7481091022491455,9.635068893432617
devils_advocate,3.793151617050171,9.746158599853516
dilettante,4.015684604644775,9.687052726745605
dispatcher,4.23142671585083,9.618382453918457
divorcee,3.7866673469543457,10.013127326965332
doctor,3.6273608207702637,9.66346263885498
dreamer,4.30637788772583,9.724540710449219
echo,4.408325672149658,9.74555492401123
economist,3.1092607975006104,9.69275188446045
ecosystem,3.8572025299072266,9.735931396484375
editor,3.631335496902466,9.606050491333008
egregore,4.143143653869629,9.808235168457031
elder,3.6333460807800293,9.674789428710938
eldritch,4.520429611206055,9.71253490447998
emissary,3.759427547454834,10.031131744384766
empath,3.936230421066284,9.860308647155762
engineer,3.751711845397949,9.577150344848633
entrepreneur,3.8077380657196045,9.665560722351074
evaluator,3.5075767040252686,9.501665115356445
evangelist,2.876967430114746,9.52391242980957
examiner,3.8603217601776123,9.600533485412598
exile,3.9358503818511963,9.915051460266113
expatriate,3.743114471435547,9.729415893554688
facilitator,3.937793016433716,9.822978973388672
familiar,4.30359411239624,9.558113098144531
fixer,4.703843116760254,9.657011985778809
flaneur,4.071258068084717,9.529305458068848
fool,3.9294345378875732,9.282465934753418
forecaster,3.41875958442688,9.579907417297363
futurist,3.7859795093536377,9.784520149230957
gamer,3.3793587684631348,9.363801002502441
generalist,3.2495126724243164,9.61984920501709
genie,3.2668685913085938,9.109512329101562
geographer,3.519365072250366,9.76978874206543
ghost,3.9574673175811768,9.562954902648926
golem,3.9678661823272705,9.698674201965332
gossip,4.0262532234191895,9.209081649780273
grader,3.6973049640655518,9.348095893859863
graduate,3.92140793800354,9.869267463684082
grandparent,3.425387144088745,9.714293479919434
guardian,3.8069353103637695,9.898568153381348
guide,3.7749085426330566,9.438037872314453
guru,3.6900768280029297,9.526277542114258
hacker,3.9013328552246094,9.58815860748291
healer,3.826979160308838,9.94591999053955
hedonist,4.246016979217529,9.655354499816895
hermit,4.157900333404541,9.796760559082031
historian,3.1842458248138428,9.771320343017578
hive,3.7302722930908203,9.789254188537598
hoarder,4.110039234161377,9.604599952697754
