role,alpha,steered_score,aa_score,advantage
aberration,1.0,29.06578947368421,28.600877192982452,0.46491228070175694
aberration,1.5,33.32017543859649,31.49561403508772,1.824561403508774
aberration,2.0,43.28508771929825,24.885964912280706,18.39912280701754
aberration,2.5,66.58771929824562,13.267543859649123,53.32017543859649
absurdist,1.0,29.54385964912281,30.81140350877193,-1.2675438596491233
absurdist,1.5,32.771929824561404,34.521929824561404,-1.75
absurdist,2.0,38.7280701754386,41.16228070175438,-2.4342105263157805
absurdist,2.5,50.8640350877193,23.50438596491228,27.35964912280702
accountant,1.0,59.74561403508772,61.6140350877193,-1.8684210526315823
accountant,1.5,59.79824561403509,61.93859649122807,-2.1403508771929793
accountant,2.0,61.8421052631579,42.90350877192982,18.938596491228076
accountant,2.5,61.66228070175438,14.86842105263158,46.7938596491228
activist,1.0,53.109170305676855,56.60262008733624,-3.493449781659386
activist,1.5,55.72489082969432,61.44978165938865,-5.724890829694331
activist,2.0,59.73362445414847,53.23144104803494,6.502183406113531
activist,2.5,62.53947368421053,19.539473684210527,43.0
actor,1.0,45.57456140350877,40.64473684210526,4.929824561403507
actor,1.5,52.87719298245614,43.10964912280702,9.767543859649116
actor,2.0,64.57894736842105,30.99561403508772,33.583333333333336
actor,2.5,74.66666666666667,16.31578947368421,58.350877192982466
addict,1.0,38.31877729257642,37.62008733624455,0.6986899563318687
addict,1.5,47.7117903930131,42.15720524017468,5.5545851528384205
addict,2.0,63.786026200873366,44.42794759825328,19.358078602620083
addict,2.5,75.49122807017544,26.03070175438597,49.460526315789465
adolescent,1.0,38.62882096069869,43.60262008733624,-4.973799126637552
adolescent,1.5,51.0174672489083,48.66375545851528,2.353711790393014
adolescent,2.0,65.96069868995633,43.76419213973799,22.196506550218338
adolescent,2.5,79.70614035087719,32.58771929824562,47.118421052631575
advocate,1.0,74.01315789473684,71.16228070175438,2.850877192982452
advocate,1.5,77.01315789473684,71.53070175438596,5.482456140350877
advocate,2.0,80.48684210526316,55.88157894736842,24.605263157894747
advocate,2.5,78.73245614035088,17.69736842105263,61.03508771929825
alien,1.0,37.50877192982456,36.56578947368421,0.9429824561403493
alien,1.5,42.530701754385966,38.583333333333336,3.94736842105263
alien,2.0,53.73245614035088,30.92543859649123,22.807017543859647
alien,2.5,76.19298245614036,16.11842105263158,60.07456140350878
altruist,1.0,71.27510917030568,58.48471615720524,12.790393013100442
altruist,1.5,73.02620087336244,75.86899563318778,-2.8427947598253382
altruist,2.0,75.24454148471615,68.4585152838428,6.786026200873351
