alpha,feature,pearson_r,pearson_p,spearman_r,spearman_p,n
1.0,angle_deg,0.2712832491474878,5.0162040792304756e-06,0.19227286038054162,0.001355761468259806,275
1.0,perp_frac,0.2561289557399583,1.7078689140597924e-05,0.19227286038054162,0.001355761468259806,275
1.0,perp_norm,0.0006518965955412849,0.9914139372657081,0.16323528351086417,0.006670925457277831,275
1.0,role_norm,-0.02237621876039871,0.7118119641108818,0.14033429551137697,0.0199060996832566,275
1.5,angle_deg,0.24081294019080246,5.4654572186002066e-05,0.10173575638539029,0.09222354367599067,275
1.5,perp_frac,0.2278610800746609,0.00013801461683765802,0.10173575638539029,0.09222354367599067,275
1.5,perp_norm,0.07799287381157528,0.19724544408237846,0.2451731731686443,3.954522164007856e-05,275
1.5,role_norm,0.055651122811477105,0.35789762889463966,0.22782945774463206,0.0001383183684748171,275
2.0,angle_deg,0.3271792194985244,2.783075344635249e-08,0.30083684881390355,3.688734198136957e-07,275
2.0,perp_frac,0.32052611063854797,5.473945243953585e-08,0.30083684881390355,3.688734198136957e-07,275
2.0,perp_norm,0.11469777232939128,0.05747809504625944,0.1399758460378445,0.020227165628813156,275
2.0,role_norm,0.08304354424118228,0.1696834588433277,0.10873408657229622,0.07181662476416159,275
2.5,angle_deg,0.21124951629630923,0.000420126269512091,0.18104770566903075,0.0025816449956757065,275
2.5,perp_frac,0.22703669052065092,0.00014614116009651333,0.18104770566903075,0.0025816449956757065,275
2.5,perp_norm,0.12445468397069827,0.039162833879636205,0.20635801502992518,0.0005740013715699305,275
2.5,role_norm,0.09943625720405522,0.09985986508637518,0.18152951554310393,0.0025130998078311474,275
