role,cos_bare_last,cos_bare_mean,cos_context_last,cos_context_mean
aberration,-0.03499528020620346,-0.0205690935254097,-0.05662624537944794,-0.05662624537944794
absurdist,-0.09045460820198059,-0.06710707396268845,-0.08222104609012604,-0.09050045907497406
accountant,-0.04312954470515251,-0.0039096251130104065,-0.02477565035223961,-0.06646402180194855
activist,-0.06662395596504211,-0.02177843451499939,-0.09945274889469147,-0.10142666101455688
actor,0.03572124242782593,0.03572124242782593,-0.0828261598944664,-0.10093655437231064
addict,-0.08705773949623108,-0.042201582342386246,-0.0605306476354599,-0.08480951935052872
adolescent,-0.09575586766004562,-0.07761217653751373,-0.04822707921266556,-0.08053889125585556
advocate,-0.09761127829551697,-0.0599965937435627,-0.08806900680065155,-0.08919417858123779
alien,0.10447879135608673,0.10447879135608673,-0.014464151114225388,-0.0457545667886734
altruist,-0.09576837718486786,-0.08587300777435303,-0.11713758856058121,-0.11713758856058121
amateur,-0.03039063885807991,0.010912202298641205,-0.0736665427684784,-0.08308736234903336
ambassador,-0.046709269285202026,-0.007350306957960129,-0.06738545000553131,-0.08510671555995941
amnesiac,-0.08496546000242233,-0.061833418905735016,-0.0838899090886116,-0.08996520191431046
analyst,-0.07335816323757172,-0.023228101432323456,-0.07467785477638245,-0.08578857779502869
anarchist,-0.09251785278320312,-0.05580227077007294,-0.030882105231285095,-0.06217077001929283
ancient,-0.0618521049618721,-0.011371340602636337,-0.037385523319244385,-0.06924629956483841
angel,0.08405285328626633,0.08405285328626633,-0.008242778480052948,-0.04902159422636032
anthropologist,-0.07173430919647217,-0.06418421119451523,-0.11240776628255844,-0.11240776628255844
archaeologist,-0.09028703719377518,-0.06977255642414093,-0.1299179196357727,-0.1299179196357727
architect,-0.07260826975107193,-0.04009491950273514,-0.05221482738852501,-0.09516151249408722
archivist,-0.0017777420580387115,0.036232996731996536,-0.009289629757404327,-0.009289629757404327
artisan,0.0805545449256897,0.0805545449256897,-0.032769255340099335,-0.08722080290317535
ascetic,-0.06445677578449249,-0.018274903297424316,-0.06296316534280777,-0.06296316534280777
assistant,-0.02536298707127571,-0.02536298707127571,-0.12828589975833893,-0.12051806598901749
auctioneer,-0.022736385464668274,0.023433931171894073,-0.04691021144390106,-0.04691021144390106
auditor,-0.038493771106004715,-0.002375200390815735,-0.019209451973438263,-0.06814278662204742
avatar,0.06830330193042755,0.06830330193042755,-0.03889275714755058,-0.07282434403896332
bard,0.06531104445457458,0.06531104445457458,-0.06019262969493866,-0.08933204412460327
bartender,-0.03449155017733574,-0.008386414498090744,-0.03469570353627205,-0.0889376699924469
biologist,-0.06256422400474548,-0.02154487371444702,-0.09173104912042618,-0.10010284185409546
blogger,-0.06970159709453583,-0.022385332733392715,-0.10148364305496216,-0.09467996656894684
bohemian,-0.057895854115486145,-0.0570581778883934,-0.0655679851770401,-0.0849674642086029
builder,0.05660278722643852,0.05660278722643852,-0.07361836731433868,-0.11258292943239212
caregiver,-0.07572914659976959,-0.07428236305713654,-0.08918870240449905,-0.10348396003246307
cartographer,-0.007380463182926178,0.02767821028828621,-0.01551475003361702,-0.01551475003361702
caveman,-0.03094644844532013,-0.024790585041046143,-0.03473873436450958,-0.03473873436450958
celebrity,-0.06117556244134903,-0.05859718471765518,-0.06170061230659485,-0.08197063207626343
chameleon,-0.0340789258480072,0.0021794624626636505,-0.03077695518732071,-0.03077695518732071
chef,0.0827462375164032,0.0827462375164032,-0.054597407579422,-0.09607790410518646
chemist,0.074064701795578,0.074064701795578,-0.09219666570425034,-0.09219666570425034
chimera,-0.009897705167531967,0.010666899383068085,-0.008056282997131348,-0.008056282997131348
coach,0.09561703354120255,0.09561703354120255,-0.05872394144535065,-0.08136112242937088
collaborator,-0.08803446590900421,-0.10497557371854782,-0.14760372042655945,-0.14760372042655945
collector,0.09051264822483063,0.09051264822483063,-0.07535307854413986,-0.09271817654371262
comedian,-0.04213373363018036,-0.010016627609729767,-0.05783023312687874,-0.08312181383371353
competitor,-0.045181285589933395,-0.01360953226685524,-0.09675797820091248,-0.09641185402870178
composer,0.08844923973083496,0.08844923973083496,-0.09597708284854889,-0.1041509360074997
conservator,-0.07504847645759583,-0.09006277471780777,-0.09217427670955658,-0.09217427670955658
consultant,-0.07998606562614441,-0.03608033061027527,-0.11735881865024567,-0.11676712334156036
contrarian,-0.08455809950828552,-0.03275708854198456,-0.11425929516553879,-0.11425929516553879
coordinator,-0.08108517527580261,-0.04371807724237442,-0.10627167671918869,-0.11322823911905289
coral_reef,-0.015711627900600433,0.013129014521837234,-0.03597376495599747,-0.03597376495599747
cosmopolitan,-0.08309940248727798,-0.06589362770318985,-0.10428750514984131,-0.10428750514984131
counselor,-0.08681416511535645,-0.0709952712059021,-0.1062481701374054,-0.11028805375099182
criminal,0.0835004523396492,0.0835004523396492,-0.07753122597932816,-0.08907104283571243
critic,-0.10671860724687576,-0.05563276261091232,-0.1204162985086441,-0.10756917297840118
crystalline,-0.021931879222393036,-0.012946199625730515,0.004517819732427597,0.004517819732427597
curator,-0.061210669577121735,-0.01529773697257042,-0.0926237627863884,-0.1009296104311943
cyborg,-0.026868026703596115,0.011859465390443802,-0.036159761250019073,-0.036159761250019073
cynic,-0.05899776890873909,-0.030948113650083542,-0.07055827975273132,-0.07055827975273132
daredevil,-0.025291375815868378,-0.01618800312280655,-0.05310383439064026,-0.05310383439064026
debugger,-0.01801621913909912,0.023525599390268326,-0.028825026005506516,-0.0646418035030365
demon,-0.06552737206220627,-0.025095123797655106,-0.0573146790266037,-0.08876889199018478
designer,-0.048556849360466,-0.005150020122528076,-0.10045108199119568,-0.10440722107887268
destroyer,-0.02513137087225914,0.014308672398328781,-0.03507251292467117,-0.08375714719295502
detective,-0.06188901513814926,-0.019091933965682983,-0.0704897865653038,-0.09219849109649658
