role,steered_score__alpha_1.0,cmp_emotional_register__alpha_1.0,cmp_vocab_choice__alpha_1.0,cmp_social_dynamic__alpha_1.0,cmp_motivation__alpha_1.0,cmp_worldview_alignment__alpha_1.0,steered_score__alpha_1.5,cmp_emotional_register__alpha_1.5,cmp_vocab_choice__alpha_1.5,cmp_social_dynamic__alpha_1.5,cmp_motivation__alpha_1.5,cmp_worldview_alignment__alpha_1.5,steered_score__alpha_2.0,cmp_emotional_register__alpha_2.0,cmp_vocab_choice__alpha_2.0,cmp_social_dynamic__alpha_2.0,cmp_motivation__alpha_2.0,cmp_worldview_alignment__alpha_2.0,steered_score__alpha_2.5,cmp_emotional_register__alpha_2.5,cmp_vocab_choice__alpha_2.5,cmp_social_dynamic__alpha_2.5,cmp_motivation__alpha_2.5,cmp_worldview_alignment__alpha_2.5
aberration,29.06578947368421,10.197368421052632,21.973684210526315,20.24122807017544,18.464912280701753,9.517543859649123,33.32017543859649,13.947368421052632,23.68421052631579,22.25877192982456,21.68859649122807,12.850877192982455,43.28508771929825,20.087719298245613,28.223684210526315,27.67543859649123,29.210526315789473,19.473684210526315,66.58771929824562,34.75877192982456,40.37280701754386,39.95614035087719,42.63157894736842,34.64912280701754
absurdist,29.54385964912281,9.517543859649123,16.95175438596491,19.890350877192983,17.850877192982455,7.6535087719298245,32.771929824561404,11.732456140350877,19.539473684210527,21.666666666666668,19.846491228070175,9.429824561403509,38.728070175438596,16.57894736842105,24.605263157894736,28.530701754385966,25.19736842105263,13.530701754385966,50.8640350877193,25.087719298245613,32.93859649122807,36.030701754385966,33.728070175438596,21.95175438596491
accountant,59.74561403508772,52.80701754385965,58.64035087719298,50.94298245614035,54.23245614035088,49.93421052631579,59.79824561403509,54.3421052631579,58.026315789473685,51.416666666666664,56.64473684210526,51.99561403508772,61.8421052631579,54.21052631578947,55.10087719298246,51.31578947368421,58.728070175438596,53.41228070175438,61.66228070175438,49.14473684210526,46.73245614035088,46.51315789473684,56.666666666666664,50.94298245614035
activist,53.109170305676855,45.87336244541485,57.77292576419214,49.148471615720524,47.55458515283843,45.21834061135371,55.724890829694324,51.572052401746724,59.585152838427945,54.06113537117904,52.89519650655022,50.480349344978166,59.73362445414847,57.40174672489083,60.327510917030565,56.200873362445414,60.109170305676855,56.68122270742358,62.53947368421053,62.25877192982456,59.583333333333336,59.53947368421053,63.79385964912281,59.86842105263158
actor,45.574561403508774,43.771929824561404,49.18859649122807,44.91228070175438,54.49561403508772,49.62719298245614,52.87719298245614,53.07017543859649,55.48245614035088,52.74122807017544,62.23684210526316,56.75438596491228,64.57894736842105,60.19736842105263,59.3421052631579,59.3421052631579,68.88157894736842,64.29824561403508,74.66666666666667,68.83771929824562,63.59649122807018,66.8201754385965,74.71491228070175,70.10964912280701
addict,38.31877729257642,25.04366812227074,32.838427947598255,28.34061135371179,26.069868995633186,22.729257641921397,47.7117903930131,34.737991266375545,41.89956331877729,37.81659388646288,35.58951965065502,31.921397379912662,63.786026200873366,46.17903930131004,51.572052401746724,47.86026200873363,47.7292576419214,44.00873362445415,75.49122807017544,55.81140350877193,57.65350877192982,56.00877192982456,56.92982456140351,53.478070175438596
adolescent,38.62882096069869,31.48471615720524,30.76419213973799,31.353711790393014,40.698689956331876,36.375545851528386,51.0174672489083,43.493449781659386,44.47598253275109,42.81659388646288,53.23144104803494,48.777292576419214,65.96069868995633,54.80349344978166,54.890829694323145,55.0,64.58515283842794,60.45851528384279,79.70614035087719,67.76315789473684,65.98684210526316,67.65350877192982,75.6359649122807,71.44736842105263
advocate,74.01315789473684,56.31578947368421,64.73684210526316,57.87280701754386,61.030701754385966,58.0921052631579,77.01315789473684,62.10526315789474,64.4298245614035,60.6359649122807,66.79824561403508,63.24561403508772,80.48684210526316,68.1798245614035,64.25438596491227,64.95614035087719,70.54824561403508,66.71052631578948,78.73245614035088,66.75438596491227,59.80263157894737,60.78947368421053,67.08333333333333,61.776315789473685
alien,37.50877192982456,22.87280701754386,32.324561403508774,30.57017543859649,36.44736842105263,23.43421052631579,42.530701754385966,28.20175438596491,35.98684210526316,34.49561403508772,40.723684210526315,27.93859649122807,53.73245614035088,34.780701754385966,39.95614035087719,40.06578947368421,47.74122807017544,35.46052631578947,76.19298245614036,51.35964912280702,52.89473684210526,52.76315789473684,61.60087719298246,52.675438596491226
altruist,71.27510917030568,48.97379912663755,62.81659388646288,54.366812227074234,50.87336244541485,49.03930131004367,73.02620087336244,53.47161572052402,62.66375545851528,56.943231441048034,54.51091703056768,52.685589519650655,75.24454148471615,58.34061135371179,61.24454148471616,58.07860262008734,59.23580786026201,56.353711790393014,74.3859649122807,62.478070175438596,59.078947368421055,59.3421052631579,63.55263157894737,60.30701754385965
