role,norm
aberration,3.788795
absurdist,3.4596865
accountant,3.4523096
activist,3.500444
actor,3.497724
addict,4.5024734
adolescent,3.7758856
advocate,4.236433
alien,4.1895547
altruist,3.593802
amateur,3.157164
ambassador,3.901721
amnesiac,4.1106057
analyst,3.5320723
anarchist,3.8761783
ancient,3.9698002
angel,4.3454156
anthropologist,3.6761775
archaeologist,3.4103322
architect,3.29719
archivist,3.833325
artisan,3.7969987
ascetic,3.533342
assistant,3.4985683
auctioneer,4.3792353
auditor,3.5493267
avatar,4.1696806
bard,3.5661016
bartender,4.5242147
biologist,3.3239646
blogger,3.1731586
bohemian,3.838174
builder,3.7467675
caregiver,4.5080795
cartographer,3.7764542
caveman,4.436631
celebrity,3.796666
chameleon,3.6833606
chef,4.080557
chemist,3.3404603
chimera,4.027644
coach,4.171865
collaborator,3.5913103
collector,3.2994993
comedian,3.736613
competitor,3.9928644
composer,3.4422235
conservator,3.8020236
consultant,3.5762737
contrarian,3.4793081
coordinator,4.0142775
coral_reef,3.8589997
cosmopolitan,3.5776932
counselor,3.62822
criminal,4.2767963
critic,3.5288517
crystalline,4.569005
curator,3.7166977
cyborg,3.9845276
cynic,3.8742297
daredevil,4.67461
debugger,3.905272
demon,4.0219884
designer,3.4023194
destroyer,4.3579106
detective,3.748109
devils_advocate,3.7931519
dilettante,4.0156846
dispatcher,4.2314262
divorcee,3.7866678
doctor,3.6273613
dreamer,4.306378
echo,4.4083257
economist,3.1092606
ecosystem,3.8572028
editor,3.6313355
egregore,4.143144
elder,3.6333463
eldritch,4.5204296
emissary,3.7594278
empath,3.9362304
engineer,3.7517118
entrepreneur,3.807738
evaluator,3.5075767
evangelist,2.8769674
examiner,3.8603218
exile,3.9358501
expatriate,3.7431142
facilitator,3.937793
familiar,4.303594
fixer,4.703843
flaneur,4.0712585
fool,3.9294345
forecaster,3.4187596
futurist,3.7859795
gamer,3.3793583
generalist,3.2495122
genie,3.2668688
geographer,3.5193653
ghost,3.957467
golem,3.9678664
gossip,4.0262527
grader,3.697305
graduate,3.9214075
grandparent,3.4253871
guardian,3.8069353
guide,3.7749083
guru,3.6900768
hacker,3.9013324
healer,3.826979
hedonist,4.246017
hermit,4.1579
historian,3.184246
hive,3.7302725
hoarder,4.110039
homunculus,4.011496
hybrid,4.0337906
idealist,3.562786
immigrant,3.187933
improviser,3.9684598
infant,4.4783225
influencer,3.4869142
instructor,3.8157616
interpreter,3.4270003
interviewer,3.7695973
jester,4.274448
journalist,3.9711814
judge,3.2531133
lawyer,3.3690012
leviathan,3.7482274
librarian,3.5047886
linguist,3.1686966
loner,3.4319446
luddite,3.4592972
marketer,3.532817
martyr,4.1194873
mathematician,3.4581835
maverick,4.3035417
mechanic,4.283376
mediator,3.3031507
mentor,3.6254005
merchant,4.1160216
minimalist,3.631346
moderator,3.7308595
musician,3.493306
mycorrhizal,4.3539705
mystic,3.8505654
narcissist,4.0350366
narrator,3.0421984
naturalist,3.422143
navigator,3.8907158
negotiator,3.4534287
networker,3.8613307
newlywed,3.4365315
nomad,3.6497746
novelist,3.4215171
nutritionist,3.5686507
observer,4.0613327
optimist,3.3110912
oracle,3.9904068
organizer,3.9906464
orphan,3.9415863
pacifist,3.547859
paramedic,4.2675676
parasite,4.0753107
parent,3.8244975
patient,3.656367
peacekeeper,3.5366952
perfectionist,3.3818648
pharmacist,3.9403214
philosopher,2.7489874
photographer,4.044724
physicist,3.1994576
pilgrim,3.5691423
pilot,3.484482
pirate,4.4546475
planner,3.440628
playwright,3.874876
podcaster,3.5310013
poet,3.4513528
polymath,3.5102801
pragmatist,3.89304
predator,4.0724506
presenter,3.567754
prey,4.4969974
prisoner,3.996073
procrastinator,4.1593986
prodigy,4.5545497
producer,3.6857195
programmer,3.8091831
proofreader,3.398391
prophet,4.5214753
provincial,3.773304
provocateur,4.274341
psychologist,3.210435
publisher,3.604231
purist,3.7763612
realist,4.013901
rebel,3.5848994
recruiter,3.447911
refugee,3.4396589
reporter,4.3120513
researcher,3.650309
retiree,3.262507
revenant,4.1514606
reviewer,3.4050725
revolutionary,3.8702588
robot,4.313785
rogue,4.1943326
romantic,3.1536045
saboteur,3.7824683
sage,3.2282274
scheduler,3.9322522
scholar,3.1077368
scientist,3.67035
scout,4.1088147
screener,3.43244
secretary,4.091058
shaman,4.371307
shapeshifter,4.0191193
simulacrum,4.262312
skeptic,3.3145573
smuggler,4.488242
sociologist,3.4240718
soldier,4.2040772
sommelier,3.763442
specialist,3.6209877
spirit,4.2606845
spy,3.7809958
statistician,3.3613958
stoic,4.042555
strategist,3.9555955
student,3.3763456
summarizer,3.2599792
supervisor,3.9577107
surfer,4.1004205
survivor,3.2243297
swarm,4.2420087
symbiont,4.1703696
synthesizer,3.4486287
teacher,3.8537202
technologist,3.3567395
teenager,3.5002553
theorist,3.1377964
therapist,3.4891946
toddler,5.1144547
traditionalist,3.5246933
trainer,3.4754453
translator,3.6008165
tree,3.9512773
trickster,4.4663696
tulpa,3.3672945
tutor,3.4260592
validator,3.7075384
vampire,3.5934553
vegan,4.028684
veteran,3.7599444
veterinarian,3.63382
vigilante,3.9141495
virtuoso,3.601503
virus,4.0801377
visionary,3.9162128
void,4.038331
wanderer,3.2949772
warrior,3.7904449
whale,4.3857164
widow,3.8105195
wind,4.391869
witch,3.6414185
witness,3.7447047
workaholic,3.5511053
wraith,4.0129166
writer,3.1934004
zealot,3.8729205
zeitgeist,3.9006734
