role,alpha,steered_score,aa_score
aberration,1.0,29.06578947368421,28.600877192982455
aberration,1.5,33.32017543859649,31.49561403508772
aberration,2.0,43.28508771929825,24.885964912280702
aberration,2.5,66.58771929824562,13.267543859649123
absurdist,1.0,29.54385964912281,30.81140350877193
absurdist,1.5,32.771929824561404,34.521929824561404
absurdist,2.0,38.728070175438596,41.16228070175438
absurdist,2.5,50.8640350877193,23.50438596491228
accountant,1.0,59.74561403508772,61.6140350877193
accountant,1.5,59.79824561403509,61.93859649122807
accountant,2.0,61.8421052631579,42.90350877192982
accountant,2.5,61.66228070175438,14.868421052631579
activist,1.0,53.109170305676855,56.60262008733624
activist,1.5,55.724890829694324,61.44978165938865
activist,2.0,59.73362445414847,53.23144104803494
activist,2.5,62.53947368421053,19.539473684210527
actor,1.0,45.574561403508774,40.64473684210526
actor,1.5,52.87719298245614,43.10964912280702
actor,2.0,64.57894736842105,30.99561403508772
actor,2.5,74.66666666666667,16.31578947368421
addict,1.0,38.31877729257642,37.620087336244545
addict,1.5,47.7117903930131,42.157205240174676
addict,2.0,63.786026200873366,44.427947598253276
addict,2.5,75.49122807017544,26.030701754385966
adolescent,1.0,38.62882096069869,43.60262008733624
adolescent,1.5,51.0174672489083,48.66375545851528
adolescent,2.0,65.96069868995633,43.76419213973799
adolescent,2.5,79.70614035087719,32.58771929824562
advocate,1.0,74.01315789473684,71.16228070175438
advocate,1.5,77.01315789473684,71.53070175438596
advocate,2.0,80.48684210526316,55.88157894736842
advocate,2.5,78.73245614035088,17.69736842105263
alien,1.0,37.50877192982456,36.56578947368421
alien,1.5,42.530701754385966,38.583333333333336
alien,2.0,53.73245614035088,30.92543859649123
alien,2.5,76.19298245614036,16.11842105263158
altruist,1.0,71.27510917030568,58.48471615720524
altruist,1.5,73.02620087336244,75.86899563318778
altruist,2.0,75.24454148471615,68.4585152838428
altruist,2.5,74.3859649122807,25.74561403508772
amateur,1.0,65.50877192982456,63.14912280701754
amateur,1.5,76.64473684210526,69.64473684210526
amateur,2.0,84.7719298245614,57.56578947368421
amateur,2.5,89.09649122807018,27.67543859649123
ambassador,1.0,69.85087719298245,71.03070175438596
ambassador,1.5,70.41228070175438,70.90350877192982
ambassador,2.0,69.12280701754386,50.68421052631579
ambassador,2.5,64.94736842105263,14.342105263157896
amnesiac,1.0,39.49561403508772,37.28947368421053
amnesiac,1.5,46.271929824561404,43.166666666666664
amnesiac,2.0,63.51315789473684,42.31140350877193
amnesiac,2.5,79.15350877192982,26.38157894736842
analyst,1.0,86.3201754385965,85.9342105263158
analyst,1.5,85.31140350877193,82.69298245614036
analyst,2.0,84.50877192982456,54.62280701754386
analyst,2.5,81.89035087719299,17.960526315789473
anarchist,1.0,30.385964912280702,30.70614035087719
anarchist,1.5,36.57017543859649,34.01315789473684
anarchist,2.0,45.64912280701754,28.982456140350877
anarchist,2.5,57.3421052631579,15.043859649122806
ancient,1.0,42.99561403508772,44.6359649122807
ancient,1.5,44.26315789473684,48.1140350877193
ancient,2.0,47.98684210526316,40.04824561403509
ancient,2.5,51.083333333333336,11.614035087719298
angel,1.0,65.93859649122807,66.99122807017544
angel,1.5,72.46929824561404,71.49561403508773
angel,2.0,82.94298245614036,62.37719298245614
angel,2.5,89.60087719298245,18.333333333333332
anthropologist,1.0,61.75438596491228,60.86842105263158
anthropologist,1.5,65.48684210526316,61.10087719298246
anthropologist,2.0,71.15789473684211,47.55701754385965
anthropologist,2.5,75.2280701754386,17.214912280701753
archaeologist,1.0,44.71491228070175,41.90350877192982
archaeologist,1.5,48.62719298245614,42.73245614035088
archaeologist,2.0,53.14035087719298,28.763157894736842
archaeologist,2.5,58.15350877192982,14.276315789473685
architect,1.0,54.61572052401747,56.1528384279476
architect,1.5,56.11353711790393,56.38864628820961
architect,2.0,57.39737991266376,37.109170305676855
architect,2.5,58.49561403508772,13.771929824561404
archivist,1.0,59.04824561403509,50.44298245614035
archivist,1.5,62.48684210526316,52.10526315789474
archivist,2.0,71.85526315789474,36.60526315789474
archivist,2.5,78.8640350877193,13.157894736842104
artisan,1.0,56.49781659388646,55.60698689956332
artisan,1.5,64.28384279475982,58.17903930131004
artisan,2.0,74.96943231441048,45.8471615720524
artisan,2.5,81.68859649122807,17.280701754385966
ascetic,1.0,34.10964912280702,38.73684210526316
ascetic,1.5,37.04824561403509,42.925438596491226
ascetic,2.0,38.95614035087719,40.94736842105263
ascetic,2.5,42.00438596491228,18.333333333333332
assistant,1.0,94.70614035087719,93.46052631578948
assistant,1.5,94.29385964912281,91.05701754385964
assistant,2.0,92.82894736842105,60.95614035087719
assistant,2.5,89.46491228070175,18.394736842105264
auctioneer,1.0,36.526315789473685,34.0
auctioneer,1.5,42.675438596491226,35.15350877192982
auctioneer,2.0,53.67982456140351,25.57456140350877
auctioneer,2.5,68.84210526315789,11.359649122807017
auditor,1.0,62.728070175438596,63.12280701754386
auditor,1.5,63.64912280701754,65.15350877192982
auditor,2.0,65.04824561403508,45.469298245614034
auditor,2.5,67.60526315789474,13.114035087719298
avatar,1.0,55.44298245614035,55.276315789473685
avatar,1.5,64.89035087719299,60.86842105263158
avatar,2.0,78.53508771929825,52.60964912280702
avatar,2.5,87.10526315789474,15.49561403508772
