role,steered_auc,aa_auc,auc_advantage,steered_monotonic,aa_monotonic,steered_peak_alpha,aa_peak_alpha,steered_slope,aa_slope,slope_advantage,steered_score_1_0,steered_score_2_5,aa_score_1_0,aa_score_2_5,steered_gain,aa_gain
aberration,41.47733918128655,25.771929824561408,15.705409356725145,True,False,2.5,1.5,24.506140350877182,-10.521929824561388,35.02807017543857,29.06578947368421,66.58771929824562,28.600877192982455,13.267543859649123,37.52192982456141,-15.333333333333332
absurdist,37.23464912280702,34.280701754385966,2.953947368421055,True,False,2.5,2.0,13.983333333333329,-3.056140350877186,17.039473684210513,29.54385964912281,50.8640350877193,30.81140350877193,23.50438596491228,21.320175438596493,-7.307017543859651
accountant,60.78143274853801,47.694444444444436,13.086988304093573,False,False,2.0,1.5,1.5587719298245573,-31.85438596491226,33.41315789473682,59.74561403508772,61.66228070175438,61.6140350877193,14.868421052631579,1.9166666666666643,-46.745614035087726
activist,57.760945759595494,50.91742319773232,6.843522561863175,True,False,2.5,1.5,6.459928752011033,-23.881555964146152,30.341484716157183,53.109170305676855,62.53947368421053,56.60262008733624,19.539473684210527,9.430303378533672,-37.063146403125714
actor,59.1922514619883,34.19517543859649,24.997076023391806,True,False,2.5,1.5,19.795614035087713,-17.02017543859648,36.81578947368419,45.574561403508774,74.66666666666667,40.64473684210526,16.31578947368421,29.092105263157897,-24.32894736842105
addict,56.13427309175413,39.47018246124774,16.664090630506394,True,False,2.5,2.0,25.51831762813145,-6.4994828774994335,32.01780050563088,38.31877729257642,75.49122807017544,37.620087336244545,26.030701754385966,37.17245077759902,-11.58938558185858
adolescent,58.715215531550854,43.5077057636814,15.207509767869453,True,False,2.5,1.5,27.635037922316698,-7.588853137209822,35.22389105952652,38.62882096069869,79.70614035087719,43.60262008733624,32.58771929824562,41.0773193901785,-11.014900789090625
advocate,77.95760233918128,57.28070175438595,20.676900584795327,False,False,2.0,1.5,3.5263157894736725,-35.20877192982452,38.73508771929819,74.01315789473684,78.73245614035088,71.16228070175438,17.69736842105263,4.719298245614041,-53.46491228070175
alien,51.03801169590643,31.95029239766082,19.087719298245606,True,False,2.5,1.5,25.45087719298244,-13.799999999999994,39.25087719298243,37.50877192982456,76.19298245614036,36.56578947368421,16.11842105263158,38.684210526315795,-20.447368421052634
altruist,73.70042646645727,62.147558671059016,11.552867795398257,False,False,2.0,1.5,2.310181567455752,-21.125557343139494,23.435738910595248,71.27510917030568,74.3859649122807,58.48471615720524,25.74561403508772,3.1108557419750156,-32.73910212211752
amateur,79.57309941520468,57.54093567251462,22.03216374269006,True,False,2.5,1.5,15.778070175438584,-23.69999999999998,39.47807017543857,65.50877192982456,89.09649122807018,63.14912280701754,27.67543859649123,23.587719298245617,-35.473684210526315
ambassador,68.97807017543859,54.75804093567252,14.22002923976607,False,False,1.5,1.0,-3.199999999999997,-38.05701754385962,34.85701754385963,69.85087719298245,64.94736842105263,71.03070175438596,14.342105263157896,-4.903508771929822,-56.68859649122806
amnesiac,56.36988304093567,39.10453216374269,17.26535087719298,True,False,2.5,1.5,27.242982456140332,-6.715789473684203,33.958771929824536,39.49561403508772,79.15350877192982,37.28947368421053,26.38157894736842,39.6578947368421,-10.907894736842106
analyst,84.64181286549707,63.087719298245624,21.55409356725145,False,False,1.0,1.0,-2.818421052631569,-46.39824561403508,43.57982456140351,86.3201754385965,81.89035087719299,85.9342105263158,17.960526315789473,-4.429824561403507,-67.97368421052633
anarchist,42.02777777777778,28.62353801169591,13.404239766081869,True,False,2.5,1.5,17.989473684210516,-10.403508771929818,28.392982456140334,30.385964912280702,57.3421052631579,30.70614035087719,15.043859649122806,26.956140350877195,-15.662280701754385
ancient,46.42982456140351,38.76242690058479,7.667397660818715,True,False,2.5,1.5,5.597368421052624,-21.426315789473673,27.023684210526298,42.99561403508772,51.083333333333336,44.6359649122807,11.614035087719298,8.087719298245617,-33.0219298245614
angel,77.72733918128655,58.845029239766085,18.882309941520468,True,False,2.5,1.5,16.292105263157882,-31.018421052631556,47.31052631578944,65.93859649122807,89.60087719298245,66.99122807017544,18.333333333333332,23.662280701754383,-48.65789473684211
anthropologist,68.37865497076024,49.23318713450292,19.145467836257318,True,False,2.5,1.5,9.21842105263158,-28.900877192982446,38.119298245614026,61.75438596491228,75.2280701754386,60.86842105263158,17.214912280701753,13.473684210526322,-43.65350877192983
archaeologist,51.0672514619883,33.19517543859649,17.872076023391806,True,False,2.5,1.5,8.965789473684206,-19.37017543859648,28.335964912280687,44.71491228070175,58.15350877192982,41.90350877192982,14.276315789473685,13.438596491228068,-27.627192982456137
architect,56.68886143670676,42.820066906713656,13.868794529993103,True,False,2.5,1.5,2.5847046655941215,-29.28444035853826,31.86914502413238,54.61572052401747,58.49561403508772,56.1528384279476,13.771929824561404,3.87989351107025,-42.380908603386196
archivist,67.76608187134502,40.1703216374269,27.59576023391812,True,False,2.5,1.5,13.763157894736825,-25.471052631578935,39.23421052631576,59.04824561403509,78.8640350877193,50.44298245614035,13.157894736842104,19.815789473684212,-37.28508771929825
artisan,69.44882721724252,46.823348400112366,22.62547881713016,True,False,2.5,1.5,17.251585842335096,-25.462146632957914,42.713732475293014,56.49781659388646,81.68859649122807,55.60698689956332,17.280701754385966,25.190779897341606,-38.32628514517735
