method,alpha,subdim_i,subdim_j,spearman_r
steered,1.0,emotional_register,emotional_register,1.0
steered,1.0,emotional_register,vocab_choice,0.9782016781144863
steered,1.0,emotional_register,social_dynamic,0.9861277504856075
steered,1.0,emotional_register,motivation,0.9712064852270671
steered,1.0,emotional_register,worldview_alignment,0.9822507519640121
steered,1.0,vocab_choice,emotional_register,0.9782016781144864
steered,1.0,vocab_choice,vocab_choice,1.0
steered,1.0,vocab_choice,social_dynamic,0.9895206216336377
steered,1.0,vocab_choice,motivation,0.9551323413520248
steered,1.0,vocab_choice,worldview_alignment,0.968242611056824
steered,1.0,social_dynamic,emotional_register,0.9861277504856075
steered,1.0,social_dynamic,vocab_choice,0.9895206216336377
steered,1.0,social_dynamic,social_dynamic,1.0
steered,1.0,social_dynamic,motivation,0.9660688610968039
steered,1.0,social_dynamic,worldview_alignment,0.977001180869332
steered,1.0,motivation,emotional_register,0.9712064852270669
steered,1.0,motivation,vocab_choice,0.9551323413520248
steered,1.0,motivation,social_dynamic,0.966068861096804
steered,1.0,motivation,motivation,1.0
steered,1.0,motivation,worldview_alignment,0.9947015247580443
steered,1.0,worldview_alignment,emotional_register,0.9822507519640121
steered,1.0,worldview_alignment,vocab_choice,0.968242611056824
steered,1.0,worldview_alignment,social_dynamic,0.977001180869332
steered,1.0,worldview_alignment,motivation,0.9947015247580443
steered,1.0,worldview_alignment,worldview_alignment,1.0
steered,1.5,emotional_register,emotional_register,1.0
steered,1.5,emotional_register,vocab_choice,0.974179373245193
steered,1.5,emotional_register,social_dynamic,0.9830208913062026
steered,1.5,emotional_register,motivation,0.9698729388334397
steered,1.5,emotional_register,worldview_alignment,0.9806978357182663
steered,1.5,vocab_choice,emotional_register,0.9741793732451929
steered,1.5,vocab_choice,vocab_choice,1.0
steered,1.5,vocab_choice,social_dynamic,0.9879610690843269
steered,1.5,vocab_choice,motivation,0.9537500735699277
steered,1.5,vocab_choice,worldview_alignment,0.9680468804436096
steered,1.5,social_dynamic,emotional_register,0.9830208913062025
steered,1.5,social_dynamic,vocab_choice,0.9879610690843268
steered,1.5,social_dynamic,social_dynamic,1.0
steered,1.5,social_dynamic,motivation,0.9634416537719821
steered,1.5,social_dynamic,worldview_alignment,0.9753242197055754
steered,1.5,motivation,emotional_register,0.9698729388334397
steered,1.5,motivation,vocab_choice,0.9537500735699277
steered,1.5,motivation,social_dynamic,0.9634416537719821
steered,1.5,motivation,motivation,1.0
steered,1.5,motivation,worldview_alignment,0.9952700366364283
steered,1.5,worldview_alignment,emotional_register,0.9806978357182663
steered,1.5,worldview_alignment,vocab_choice,0.9680468804436095
steered,1.5,worldview_alignment,social_dynamic,0.9753242197055754
steered,1.5,worldview_alignment,motivation,0.9952700366364284
steered,1.5,worldview_alignment,worldview_alignment,1.0
steered,2.0,emotional_register,emotional_register,1.0
steered,2.0,emotional_register,vocab_choice,0.963938955840945
steered,2.0,emotional_register,social_dynamic,0.9801395408019002
steered,2.0,emotional_register,motivation,0.9604576921810813
steered,2.0,emotional_register,worldview_alignment,0.9728054969216519
steered,2.0,vocab_choice,emotional_register,0.9639389558409451
steered,2.0,vocab_choice,vocab_choice,1.0
steered,2.0,vocab_choice,social_dynamic,0.9824761892673597
steered,2.0,vocab_choice,motivation,0.9420132679922467
steered,2.0,vocab_choice,worldview_alignment,0.9593208480755856
steered,2.0,social_dynamic,emotional_register,0.9801395408019002
steered,2.0,social_dynamic,vocab_choice,0.9824761892673597
steered,2.0,social_dynamic,social_dynamic,1.0
steered,2.0,social_dynamic,motivation,0.9571985766087163
steered,2.0,social_dynamic,worldview_alignment,0.97116649757651
steered,2.0,motivation,emotional_register,0.9604576921810815
steered,2.0,motivation,vocab_choice,0.9420132679922466
steered,2.0,motivation,social_dynamic,0.9571985766087163
steered,2.0,motivation,motivation,1.0
steered,2.0,motivation,worldview_alignment,0.9941726870165785
steered,2.0,worldview_alignment,emotional_register,0.9728054969216519
steered,2.0,worldview_alignment,vocab_choice,0.9593208480755855
steered,2.0,worldview_alignment,social_dynamic,0.97116649757651
steered,2.0,worldview_alignment,motivation,0.9941726870165783
steered,2.0,worldview_alignment,worldview_alignment,1.0
steered,2.5,emotional_register,emotional_register,1.0
steered,2.5,emotional_register,vocab_choice,0.9447793093859348
steered,2.5,emotional_register,social_dynamic,0.9775541628196734
steered,2.5,emotional_register,motivation,0.9475928899995613
steered,2.5,emotional_register,worldview_alignment,0.956487475417914
