alpha,subdim,pearson_r,pearson_p,spearman_r,spearman_p,n
1.0,emotional_register,0.033196587408549014,0.5835911793062417,0.05820483706956829,0.3362319890190238,275
1.0,vocab_choice,-0.021969412549590738,0.7168246710276648,-0.004759269012608155,0.9373790277852292,275
1.0,social_dynamic,0.059569370382689654,0.3250069016243756,0.09627049284438244,0.11118363061176828,275
1.0,motivation,0.09961398748702122,0.09925230946756422,0.10854753994882503,0.07230834747138476,275
1.0,worldview_alignment,0.100128166265968,0.0975111417741021,0.11905481460779425,0.04857216991788868,275
1.5,emotional_register,-0.014194096286378799,0.814734930948092,-0.00988634611272323,0.8703580398575883,275
1.5,vocab_choice,-0.042952618151404436,0.47809391844134164,-0.047762436773300006,0.4301745607954484,275
1.5,social_dynamic,-0.017561029018481226,0.7718831090864872,-0.0040786586501573175,0.9463197139121451,275
1.5,motivation,0.03229683208256682,0.5938384243493796,0.026404650306695986,0.662870748892142,275
1.5,worldview_alignment,0.026564737740221635,0.6609534544048263,0.016453672439218154,0.785907425326626,275
2.0,emotional_register,0.13967542050636936,0.020499710862798257,0.14018567287239694,0.020038681199007417,275
2.0,vocab_choice,0.1619782607963047,0.0071095648758803505,0.14977952851564016,0.012899167093442437,275
2.0,social_dynamic,0.12858729565954202,0.03304610568612435,0.1402538621652459,0.01997775684654957,275
2.0,motivation,0.1434694521468098,0.017281498803603457,0.13157687086244,0.02914574383989328,275
2.0,worldview_alignment,0.14622112202980916,0.015231997768610285,0.13184364665975287,0.02881767804432275,275
2.5,emotional_register,0.1429126710374727,0.017724286890731838,0.10187412852149305,0.0917793359556143,275
2.5,vocab_choice,0.12160281187380212,0.04392012679130293,0.05859016786487644,0.3330372848882043,275
2.5,social_dynamic,0.10326607102671173,0.087405354781704,0.055193307849497455,0.36187210483969184,275
2.5,motivation,0.23285897112391635,9.712945650490865e-05,0.19560430334512044,0.0011121289770347899,275
2.5,worldview_alignment,0.21038294599212368,0.00044423704332613044,0.17654321610980625,0.003309670158990797,275
