role,alpha,subdim,steered_mean,aa_mean,advantage
aberration,1.0,emotional_register,10.197368421052632,9.276315789473685,0.9210526315789469
aberration,1.0,vocab_choice,21.973684210526315,23.92543859649123,-1.9517543859649145
aberration,1.0,social_dynamic,20.24122807017544,21.11842105263158,-0.8771929824561404
aberration,1.0,motivation,18.464912280701753,17.412280701754387,1.0526315789473664
aberration,1.0,worldview_alignment,9.517543859649123,9.210526315789474,0.30701754385964897
aberration,1.5,emotional_register,13.947368421052632,9.166666666666666,4.780701754385966
aberration,1.5,vocab_choice,23.68421052631579,23.289473684210527,0.3947368421052637
aberration,1.5,social_dynamic,22.25877192982456,20.855263157894736,1.4035087719298254
aberration,1.5,motivation,21.68859649122807,18.88157894736842,2.807017543859647
aberration,1.5,worldview_alignment,12.850877192982455,10.043859649122806,2.807017543859649
aberration,2.0,emotional_register,20.087719298245613,6.447368421052632,13.640350877192981
aberration,2.0,vocab_choice,28.223684210526315,17.19298245614035,11.030701754385966
aberration,2.0,social_dynamic,27.67543859649123,17.36842105263158,10.30701754385965
aberration,2.0,motivation,29.210526315789473,18.486842105263158,10.723684210526315
aberration,2.0,worldview_alignment,19.473684210526315,9.166666666666666,10.307017543859649
aberration,2.5,emotional_register,34.75877192982456,3.3552631578947367,31.403508771929825
aberration,2.5,vocab_choice,40.37280701754386,10.06578947368421,30.30701754385965
aberration,2.5,social_dynamic,39.95614035087719,8.903508771929825,31.052631578947366
aberration,2.5,motivation,42.63157894736842,12.083333333333334,30.548245614035082
aberration,2.5,worldview_alignment,34.64912280701754,5.228070175438597,29.421052631578945
absurdist,1.0,emotional_register,9.517543859649123,9.868421052631579,-0.35087719298245545
absurdist,1.0,vocab_choice,16.95175438596491,19.18859649122807,-2.2368421052631575
absurdist,1.0,social_dynamic,19.890350877192983,22.87280701754386,-2.9824561403508767
absurdist,1.0,motivation,17.850877192982455,17.478070175438596,0.3728070175438596
absurdist,1.0,worldview_alignment,7.6535087719298245,7.3464912280701755,0.30701754385964897
absurdist,1.5,emotional_register,11.732456140350877,12.543859649122806,-0.8114035087719298
absurdist,1.5,vocab_choice,19.539473684210527,21.162280701754387,-1.6228070175438596
absurdist,1.5,social_dynamic,21.666666666666668,25.0,-3.333333333333332
