role,norm,dim,max_abs,mean_abs,norm_centered,score_at_alpha_1_0,score_at_alpha_1_5,score_at_alpha_2_0,score_at_alpha_2_5,delta_high_minus_low,score_slope,score_curve_r2,peak_alpha,late_alpha_drop,monotonic,subdim_consistency,sub25_cmp_emotional_register,sub25_cmp_vocab_choice,sub25_cmp_social_dynamic,sub25_cmp_motivation,sub25_cmp_worldview_alignment,n_questions_total
aberration,3.788794994354248,4096,1.113593578338623,0.04039257764816284,1.3890913,29.06578947368421,33.32017543859649,43.28508771929825,66.58771929824562,37.52192982456141,24.506140350877196,0.8891188860720947,2.5,0.0,True,9.971401593593455,34.75877192982456,40.37280701754386,39.95614035087719,42.63157894736842,34.64912280701754,912
absurdist,3.459686279296875,4096,1.065624713897705,0.03702200576663017,1.8497417,29.54385964912281,32.771929824561404,38.728070175438596,50.8640350877193,21.320175438596493,13.983333333333334,0.9228493585961239,2.5,0.0,True,6.951510294494764,25.087719298245613,32.93859649122807,36.030701754385966,33.728070175438596,21.95175438596491,912
accountant,3.4523098468780518,4096,0.8549288511276245,0.037525370717048645,1.420589,59.74561403508772,59.79824561403509,61.8421052631579,61.66228070175438,1.9166666666666643,1.5587719298245601,0.77106264628067,2.0,0.17982456140351388,False,2.7194794573267425,49.14473684210526,46.73245614035088,46.51315789473684,56.666666666666664,50.94298245614035,912
activist,3.500443458557129,4096,1.0442967414855957,0.03644798696041107,1.2426962,53.109170305676855,55.724890829694324,59.73362445414847,62.53947368421053,9.430303378533672,6.459928752011033,0.9934112379229594,2.5,0.0,True,5.26777448150927,62.25877192982456,59.583333333333336,59.53947368421053,63.79385964912281,59.86842105263158,915
actor,3.4977238178253174,4096,1.020625114440918,0.036097895354032516,1.3165977,45.574561403508774,52.87719298245614,64.57894736842105,74.66666666666667,29.092105263157897,19.79561403508772,0.9924083597592748,2.5,0.0,True,8.74502620492181,68.83771929824562,63.59649122807018,66.8201754385965,74.71491228070175,70.10964912280701,912
addict,4.5024733543396,4096,1.3848443031311035,0.047029804438352585,1.6993511,38.31877729257642,47.7117903930131,63.786026200873366,75.49122807017544,37.17245077759902,25.518317628131463,0.9909401536533785,2.5,0.0,True,12.671620263502346,55.81140350877193,57.65350877192982,56.00877192982456,56.92982456140351,53.478070175438596,915
adolescent,3.775885581970215,4096,1.1175780296325684,0.039294712245464325,1.4197481,38.62882096069869,51.0174672489083,65.96069868995633,79.70614035087719,41.0773193901785,27.635037922316712,0.998781900465852,2.5,0.0,True,15.253177908468212,67.76315789473684,65.98684210526316,67.65350877192982,75.6359649122807,71.44736842105263,915
advocate,4.236433029174805,4096,1.2266407012939453,0.04449634626507759,1.5560569,74.01315789473684,77.01315789473684,80.48684210526316,78.73245614035088,4.719298245614041,3.5263157894736907,0.681135377363262,2.0,1.754385964912288,False,3.6261225180293195,66.75438596491227,59.80263157894737,60.78947368421053,67.08333333333333,61.776315789473685,912
alien,4.189554691314697,4096,1.222578525543213,0.04609832912683487,2.0160816,37.50877192982456,42.530701754385966,53.73245614035088,76.19298245614036,38.684210526315795,25.45087719298246,0.912834320997518,2.5,0.0,True,10.977036820284173,51.35964912280702,52.89473684210526,52.76315789473684,61.60087719298246,52.675438596491226,912
altruist,3.593801975250244,4096,1.0346672534942627,0.03785982355475426,1.1764826,71.27510917030568,73.02620087336244,75.24454148471615,74.3859649122807,3.1108557419750156,2.3101815674557513,0.7410915311648387,2.0,0.858576572435453,False,4.015489986536422,62.478070175438596,59.078947368421055,59.3421052631579,63.55263157894737,60.30701754385965,915
amateur,3.1571643352508545,4096,0.9381201267242432,0.03292977809906006,1.3560988,65.50877192982456,76.64473684210526,84.7719298245614,89.09649122807018,23.587719298245617,15.778070175438597,0.9639721625965488,2.5,0.0,True,10.30773697550833,66.40350877192982,62.675438596491226,64.71491228070175,72.34649122807018,67.97368421052632,912
ambassador,3.9017210006713867,4096,1.0968751907348633,0.04243108630180359,1.1474396,69.85087719298245,70.41228070175438,69.12280701754386,64.94736842105263,-4.903508771929822,-3.199999999999997,0.6932788764091761,1.5,5.464912280701753,False,5.557751428781378,50.6359649122807,43.1578947368421,44.45175438596491,56.776315789473685,51.228070175438596,912
