role	cos_dist_to_assistant	eucl_dist_to_assistant	dist_to_centroid
assistant	0.000000	0.000000	0.840355
aberration	0.126324	1.353628	0.980132
absurdist	0.218163	1.643133	1.331445
accountant	0.098736	1.100934	0.917727
activist	0.110796	1.191061	0.879990
actor	0.100952	1.128941	0.956844
addict	0.106863	1.492288	1.102569
adolescent	0.118376	1.291064	1.036474
advocate	0.127424	1.489125	1.052356
alien	0.214403	1.870619	1.473371
altruist	0.077524	1.006776	0.810775
amateur	0.119549	1.186781	0.959533
ambassador	0.085814	1.143906	0.786944
amnesiac	0.126941	1.418193	1.058538
analyst	0.117151	1.223828	0.933411
anarchist	0.123087	1.365022	1.017872
ancient	0.122914	1.382189	0.949424
angel	0.170584	1.768944	1.528357
anthropologist	0.093735	1.116849	0.931232
archaeologist	0.105297	1.146951	0.781145
architect	0.109735	1.152512	0.963929
archivist	0.164877	1.504263	1.222454
artisan	0.140569	1.423088	1.177029
ascetic	0.117804	1.215835	0.891977
auctioneer	0.121591	1.559186	1.205081
auditor	0.134034	1.289856	1.101272
avatar	0.164416	1.667115	1.330712
bard	0.109007	1.180197	0.756884
bartender	0.107691	1.576902	1.438207
biologist	0.081865	0.999172	0.863726
blogger	0.112484	1.154838	0.872149
bohemian	0.096324	1.193630	0.781608
builder	0.152413	1.464559	1.063971
caregiver	0.125158	1.618750	1.322347
cartographer	0.159001	1.471770	1.161387
caveman	0.181228	1.872725	1.606547
celebrity	0.105840	1.240345	0.812582
chameleon	0.087959	1.095265	0.791447
chef	0.100122	1.308253	1.177465
chemist	0.093501	1.066385	0.969590
chimera	0.164716	1.586428	1.208228
coach	0.143923	1.557730	1.276603
collaborator	0.071575	0.969033	0.808367
collector	0.087715	1.028093	0.824314
comedian	0.112600	1.243133	0.965241
competitor	0.093016	1.220308	0.846678
composer	0.113684	1.184672	0.997095
conservator	0.133705	1.381835	1.018207
consultant	0.108799	1.178912	1.034750
contrarian	0.106422	1.152176	0.827563
coordinator	0.095237	1.245975	0.873678
coral_reef	0.182055	1.644962	1.402751
cosmopolitan	0.097044	1.117988	0.695617
counselor	0.100441	1.153304	0.989430
criminal	0.118350	1.466598	1.102572
critic	0.112714	1.195482	0.693567
crystalline	0.189056	1.953417	1.678687
curator	0.126170	1.303832	0.968747
cyborg	0.126376	1.429690	1.142691
cynic	0.122118	1.332063	0.922135
daredevil	0.104821	1.595623	1.163386
debugger	0.133843	1.403062	1.098889
demon	0.166633	1.610568	1.230797
designer	0.107077	1.147358	1.046757
destroyer	0.138422	1.627538	1.166790
detective	0.116740	1.290427	0.821221
devils_advocate	0.128473	1.319778	0.978345
dilettante	0.100357	1.265372	0.856016
dispatcher	0.105681	1.419792	1.155417
divorcee	0.113282	1.277389	0.920440
doctor	0.064826	0.920676	0.934029
dreamer	0.177148	1.790126	1.379868
echo	0.183747	1.856858	1.509491
economist	0.090877	1.042880	0.931112
ecosystem	0.146853	1.484934	1.225393
editor	0.128643	1.306162	1.046243
egregore	0.158964	1.664536	1.326218
elder	0.110149	1.200835	0.855671
eldritch	0.197136	1.958790	1.559514
emissary	0.082051	1.072484	0.644014
empath	0.103474	1.266471	0.910930
engineer	0.119080	1.281401	1.103827
entrepreneur	0.128909	1.342026	0.943732
evaluator	0.076501	0.980700	0.820906
evangelist	0.099949	1.108210	0.983167
examiner	0.083672	1.102138	0.942357
exile	0.104251	1.242189	0.811058
expatriate	0.084090	1.085760	0.739883
facilitator	0.099406	1.230478	0.996627
familiar	0.186893	1.840136	1.573903
fixer	0.107733	1.589571	1.268570
flaneur	0.095261	1.258883	0.933119
fool	0.125095	1.369562	0.900352
forecaster	0.109229	1.165091	0.740736
futurist	0.113655	1.270541	0.782019
gamer	0.081704	1.007260	0.884991
generalist	0.162838	1.390374	1.305058
genie	0.191892	1.512820	1.214835
geographer	0.108868	1.182232	0.869996
ghost	0.180357	1.633708	1.337028
golem	0.188232	1.665490	1.348336
gossip	0.109721	1.318264	0.951598
