role	cos_dist_to_assistant	eucl_dist_to_assistant	dist_to_centroid
assistant	0.000000	0.000000	0.836418
absurdist	0.218163	1.643133	1.279782
accountant	0.098736	1.100934	0.826362
activist	0.110796	1.191061	0.805199
actor	0.100952	1.128941	0.953836
addict	0.106863	1.492288	1.082499
adolescent	0.118376	1.291064	0.981893
advocate	0.127424	1.489125	1.053353
altruist	0.077524	1.006776	0.793288
amateur	0.119549	1.186781	0.901899
ambassador	0.085814	1.143906	0.862311
amnesiac	0.126941	1.418193	1.094648
analyst	0.117151	1.223828	0.834032
anarchist	0.123087	1.365022	0.952394
ancient	0.122914	1.382189	0.993382
anthropologist	0.093735	1.116849	0.967242
archaeologist	0.105297	1.146951	0.797828
architect	0.109735	1.152512	0.863433
archivist	0.164877	1.504263	1.212188
artisan	0.140569	1.423088	1.177305
ascetic	0.117804	1.215835	0.892262
auctioneer	0.121591	1.559186	1.206132
auditor	0.134034	1.289856	1.046105
bard	0.109007	1.180197	0.813336
bartender	0.107691	1.576902	1.409941
biologist	0.081865	0.999172	0.785688
blogger	0.112484	1.154838	0.859953
bohemian	0.096324	1.193630	0.800902
builder	0.152413	1.464559	0.980950
caregiver	0.125158	1.618750	1.276992
cartographer	0.159001	1.471770	1.096820
celebrity	0.105840	1.240345	0.764857
chameleon	0.087959	1.095265	0.803231
chef	0.100122	1.308253	1.171141
chemist	0.093501	1.066385	0.893506
coach	0.143923	1.557730	1.220913
collaborator	0.071575	0.969033	0.815870
collector	0.087715	1.028093	0.800668
comedian	0.112600	1.243133	0.942805
competitor	0.093016	1.220308	0.836350
composer	0.113684	1.184672	0.965370
conservator	0.133705	1.381835	0.949391
consultant	0.108799	1.178912	0.936391
contrarian	0.106422	1.152176	0.770827
coordinator	0.095237	1.245975	0.836867
cosmopolitan	0.097044	1.117988	0.754715
counselor	0.100441	1.153304	0.933369
criminal	0.118350	1.466598	1.100147
critic	0.112714	1.195482	0.662572
curator	0.126170	1.303832	0.927984
cynic	0.122118	1.332063	0.851998
daredevil	0.104821	1.595623	1.157553
debugger	0.133843	1.403062	1.061959
