O*NET-SOC Code	Element Name
11-1011.00	Speaking
11-1011.00	Critical Thinking
11-1011.00	Coordination
11-1011.00	Complex Problem Solving
11-1011.00	Judgment and Decision Making
11-1021.00	Reading Comprehension
11-1021.00	Active Listening
11-1021.00	Speaking
11-1021.00	Critical Thinking
11-1021.00	Monitoring
11-2011.00	Reading Comprehension
11-2011.00	Active Listening
11-2011.00	Speaking
11-2011.00	Critical Thinking
11-2011.00	Social Perceptiveness
11-2021.00	Reading Comprehension
11-2021.00	Active Listening
11-2021.00	Speaking
11-2021.00	Critical Thinking
11-2021.00	Active Learning
11-2033.00	Active Listening
11-2033.00	Speaking
11-2033.00	Critical Thinking
11-2033.00	Social Perceptiveness
11-2033.00	Persuasion
11-3012.00	Reading Comprehension
11-3012.00	Active Listening
11-3012.00	Writing
11-3012.00	Speaking
11-3012.00	Time Management
11-3013.00	Reading Comprehension
11-3013.00	Active Listening
11-3013.00	Speaking
11-3013.00	Critical Thinking
11-3013.00	Monitoring
11-3021.00	Reading Comprehension
11-3021.00	Active Listening
11-3021.00	Speaking
11-3021.00	Critical Thinking
11-3021.00	Monitoring
11-3031.00	Reading Comprehension
11-3031.00	Active Listening
11-3031.00	Writing
11-3031.00	Speaking
11-3031.00	Critical Thinking
11-3031.03	Reading Comprehension
11-3031.03	Active Listening
11-3031.03	Speaking
11-3031.03	Critical Thinking
11-3031.03	Judgment and Decision Making
11-3051.00	Speaking
11-3051.00	Critical Thinking
11-3051.00	Monitoring
11-3051.00	Coordination
11-3051.00	Judgment and Decision Making
11-3051.01	Reading Comprehension
11-3051.01	Active Listening
11-3051.01	Writing
11-3051.01	Quality Control Analysis
11-3051.01	Judgment and Decision Making
11-3051.02	Reading Comprehension
11-3051.02	Speaking
11-3051.02	Critical Thinking
11-3051.02	Monitoring
11-3051.02	Coordination
11-3051.03	Reading Comprehension
11-3051.03	Active Listening
11-3051.03	Critical Thinking
11-3051.03	Monitoring
11-3051.03	Management of Personnel Resources
11-3051.04	Reading Comprehension
11-3051.04	Active Listening
11-3051.04	Speaking
