O*NET-SOC Code	Task ID	Task	Task Type	Incumbents Responding	Date	Domain Source
11-1011.00	8824	Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.	Core	95.0	08/2023	Incumbent
11-1011.00	8827	Prepare budgets for approval, including those for funding or implementation of programs.	Core	95.0	08/2023	Incumbent
11-1011.00	8826	Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.	Core	94.0	08/2023	Incumbent
11-1011.00	8834	Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.	Core	95.0	08/2023	Incumbent
11-1011.00	8836	Implement corrective action plans to solve organizational or departmental problems.	Core	94.0	08/2023	Incumbent
11-1011.00	8825	Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.	Core	94.0	08/2023	Incumbent
11-1011.00	8831	Appoint department heads or managers and assign or delegate responsibilities to them.	Core	93.0	08/2023	Incumbent
11-1011.00	8843	Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.	Core	95.0	08/2023	Incumbent
11-1011.00	8830	Review reports submitted by staff members to recommend approval or to suggest changes.	Core	95.0	08/2023	Incumbent
11-1011.00	8839	Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.	Core	95.0	08/2023	Incumbent
11-1021.00	20699	Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.	Core	82.0	08/2023	Incumbent
11-1021.00	933	Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.	Core	82.0	08/2023	Incumbent
11-1021.00	20700	Direct administrative activities directly related to making products or providing services.	Core	82.0	08/2023	Incumbent
11-1021.00	20701	Prepare staff work schedules and assign specific duties.	Core	82.0	08/2023	Incumbent
11-1021.00	20703	Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.	Core	82.0	08/2023	Incumbent
11-1021.00	20706	Plan or direct activities, such as sales promotions, that require coordination with other department managers.	Core	82.0	08/2023	Incumbent
11-1021.00	20705	Perform personnel functions, such as selection, training, or evaluation.	Core	82.0	08/2023	Incumbent
11-1021.00	20704	Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.	Core	82.0	08/2023	Incumbent
11-1021.00	20702	Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.	Core	82.0	08/2023	Incumbent
11-2011.00	3224	Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.	Core	73.0	08/2018	Incumbent
11-2011.00	3226	Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.	Core	72.0	08/2018	Incumbent
11-2011.00	3231	Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.	Core	72.0	08/2018	Incumbent
11-2011.00	3242	Coordinate with the media to disseminate advertising.	Core	71.0	08/2018	Incumbent
11-2011.00	3227	Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.	Core	71.0	08/2018	Incumbent
11-2011.00	3238	Plan and execute advertising policies and strategies for organizations.	Core	71.0	08/2018	Incumbent
11-2011.00	3237	Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.	Core	72.0	08/2018	Incumbent
11-2011.00	3223	Prepare budgets and submit estimates for program costs as part of campaign plan development.	Core	71.0	08/2018	Incumbent
11-2011.00	3243	Contact organizations to explain services and facilities offered.	Core	74.0	08/2018	Incumbent
11-2011.00	3234	Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.	Core	72.0	08/2018	Incumbent
11-2021.00	951	Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.	Core	117.0	07/2015	Incumbent
11-2021.00	20709	Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.	Core	117.0	07/2015	Incumbent
11-2021.00	952	Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.	Core	116.0	07/2015	Incumbent
11-2021.00	950	Develop pricing strategies, balancing firm objectives and customer satisfaction.	Core	117.0	07/2015	Incumbent
11-2021.00	957	Compile lists describing product or service offerings.	Core	116.0	07/2015	Incumbent
11-2021.00	954	Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.	Core	117.0	07/2015	Incumbent
11-2021.00	956	Consult with product development personnel on product specifications, such as design, color, or packaging.	Core	113.0	07/2015	Incumbent
11-2021.00	958	Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.	Core	116.0	07/2015	Incumbent
11-2021.00	961	Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services.	Core	116.0	07/2015	Incumbent
11-2021.00	963	Initiate market research studies, or analyze their findings.	Core	116.0	07/2015	Incumbent
11-2033.00	21252	Develop strategies to encourage new or increased contributions.	Core	56.0	08/2025	Incumbent
11-2033.00	21258	Manage fundraising budgets.	Core	55.0	08/2025	Incumbent
11-2033.00	21251	Develop fundraising activity plans that maximize participation or contributions and minimize costs.	Core	55.0	08/2025	Incumbent
11-2033.00	21259	Plan and direct special events for fundraising, such as silent auctions, dances, golf events, or walks.	Core	56.0	08/2025	Incumbent
11-2033.00	21255	Establish goals for soliciting funds, develop policies for collection and safeguarding of contributions, and coordinate disbursement of funds.	Core	55.0	08/2025	Incumbent
11-2033.00	21254	Establish and maintain effective working relationships with clients, government officials, and media representatives and use these relationships to develop new fundraising opportunities.	Core	55.0	08/2025	Incumbent
11-2033.00	21247	Compile or develop materials to submit to granting or other funding organizations.	Core	56.0	08/2025	Incumbent
11-2033.00	21249	Contact corporate representatives, government officials, or community leaders to increase awareness of organizational causes, activities, or needs.	Core	55.0	08/2025	Incumbent
11-2033.00	21248	Conduct research to identify the goals, net worth, charitable donation history, or other data related to potential donors, potential investors, or general donor markets.	Core	55.0	08/2025	Incumbent
11-2033.00	21257	Formulate policies and procedures related to fundraising programs.	Core	55.0	08/2025	Incumbent
11-3012.00	21	Prepare and review operational reports and schedules to ensure accuracy and efficiency.	Core	133.0	07/2017	Incumbent
11-3012.00	20	Set goals and deadlines for the department.	Core	133.0	07/2017	Incumbent
11-3012.00	23	Acquire, distribute and store supplies.	Core	133.0	07/2017	Incumbent
11-3012.00	22	Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records.	Core	134.0	07/2017	Incumbent
11-3012.00	30	Conduct classes to teach procedures to staff.	Core	134.0	07/2017	Incumbent
11-3013.00	21276	Monitor the facility to ensure that it remains safe, secure, and well-maintained.	Core	95.0	08/2024	Incumbent
11-3013.00	21278	Oversee the maintenance and repair of machinery, equipment, and electrical and mechanical systems.	Core	95.0	08/2024	Incumbent
11-3013.00	21277	Oversee construction and renovation projects to improve efficiency and to ensure that facilities meet environmental, health, and security standards, and comply with government regulations.	Core	94.0	08/2024	Incumbent
11-3013.00	21280	Plan, administer, and control budgets for contracts, equipment, and supplies.	Core	94.0	08/2024	Incumbent
11-3013.00	21279	Participate in architectural and engineering planning and design, including space and installation management.	Core	94.0	08/2024	Incumbent
11-3013.00	21282	Set goals and deadlines for the department.	Core	95.0	08/2024	Incumbent
11-3013.00	21273	Conduct classes to teach procedures to staff.	Core	95.0	08/2024	Incumbent
11-3013.00	21281	Prepare and review operational reports and schedules to ensure accuracy and efficiency.	Core	94.0	08/2024	Incumbent
11-3013.00	21272	Acquire, distribute and store supplies.	Core	96.0	08/2024	Incumbent
11-3013.00	21274	Dispose of, or oversee the disposal of, surplus or unclaimed property.	Core	96.0	08/2024	Incumbent
11-3021.00	968	Direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines.	Core	76.0	07/2016	Incumbent
11-3021.00	975	Meet with department heads, managers, supervisors, vendors, and others, to solicit cooperation and resolve problems.	Core	76.0	07/2016	Incumbent
11-3021.00	978	Review project plans to plan and coordinate project activity.	Core	75.0	07/2016	Incumbent
11-3021.00	969	Assign and review the work of systems analysts, programmers, and other computer-related workers.	Core	76.0	07/2016	Incumbent
11-3021.00	15198	Provide users with technical support for computer problems.	Core	76.0	07/2016	Incumbent
11-3021.00	977	Recruit, hire, train and supervise staff, or participate in staffing decisions.	Core	76.0	07/2016	Incumbent
11-3021.00	970	Stay abreast of advances in technology.	Core	76.0	07/2016	Incumbent
11-3021.00	976	Develop and interpret organizational goals, policies, and procedures.	Core	76.0	07/2016	Incumbent
11-3021.00	973	Evaluate the organization's technology use and needs and recommend improvements, such as hardware and software upgrades.	Core	76.0	07/2016	Incumbent
11-3021.00	980	Prepare and review operational reports or project progress reports.	Core	76.0	07/2016	Incumbent
11-3031.00	21311	Establish and maintain relationships with individual or business customers or provide assistance with problems these customers may encounter.	Core	61.0	08/2022	Incumbent
11-3031.00	21319	Oversee the flow of cash or financial instruments.	Core	60.0	08/2022	Incumbent
11-3031.00	21312	Plan, direct, or coordinate the activities of workers in branches, offices, or departments of establishments, such as branch banks, brokerage firms, risk and insurance departments, or credit departments.	Core	61.0	08/2022	Incumbent
11-3031.00	21313	Recruit staff members.	Core	60.0	08/2022	Incumbent
11-3031.00	21315	Evaluate data pertaining to costs to plan budgets.	Core	59.0	08/2022	Incumbent
11-3031.00	21316	Oversee training programs.	Core	61.0	08/2022	Incumbent
11-3031.03	15678	Manage investment funds to maximize return on client investments.	Core	81.0	07/2014	Incumbent
11-3031.03	15679	Select specific investments or investment mixes for purchase by an investment fund.	Core	81.0	07/2014	Incumbent
11-3031.03	15669	Monitor financial or operational performance of individual investments to ensure portfolios meet risk goals.	Core	81.0	07/2014	Incumbent
11-3031.03	15675	Develop or implement fund investment policies or strategies.	Core	81.0	07/2014	Incumbent
11-3031.03	15667	Perform or evaluate research, such as detailed company or industry analyses, to inform financial forecasting, decision making, or valuation.	Core	81.0	07/2014	Incumbent
11-3031.03	15668	Present investment information, such as product risks, fees, or fund performance statistics.	Core	81.0	07/2014	Incumbent
11-3031.03	15664	Develop, implement, or monitor security valuation policies.	Core	80.0	07/2014	Incumbent
11-3031.03	15671	Meet with investors to determine investment goals or to discuss investment strategies.	Core	81.0	07/2014	Incumbent
11-3031.03	15665	Attend investment briefings or consult financial media to stay abreast of relevant investment markets.	Core	80.0	07/2014	Incumbent
11-3031.03	15660	Prepare for and respond to regulatory inquiries.	Core	81.0	07/2014	Incumbent
11-3051.00	39	Set and monitor product standards, examining samples of raw products or directing testing during processing, to ensure finished products are of prescribed quality.	Core	115.0	08/2021	Incumbent
11-3051.00	32	Direct or coordinate production, processing, distribution, or marketing activities of industrial organizations.	Core	115.0	08/2021	Incumbent
11-3051.00	34	Review processing schedules or production orders to make decisions concerning inventory requirements, staffing requirements, work procedures, or duty assignments, considering budgetary limitations and time constraints.	Core	115.0	08/2021	Incumbent
11-3051.00	35	Review operations and confer with technical or administrative staff to resolve production or processing problems.	Core	115.0	08/2021	Incumbent
11-3051.00	36	Hire, train, evaluate, or discharge staff or resolve personnel grievances.	Core	115.0	08/2021	Incumbent
11-3051.00	40	Develop or implement production tracking or quality control systems, analyzing production, quality control, maintenance, or other operational reports to detect production problems.	Core	115.0	08/2021	Incumbent
11-3051.00	38	Prepare and maintain production reports or personnel records.	Core	115.0	08/2021	Incumbent
11-3051.00	41	Review plans and confer with research or support staff to develop new products or processes.	Core	114.0	08/2021	Incumbent
11-3051.00	33	Develop budgets or approve expenditures for supplies, materials, or human resources, ensuring that materials, labor, or equipment are used efficiently to meet production targets.	Core	115.0	08/2021	Incumbent
11-3051.00	43	Coordinate or recommend procedures for facility or equipment maintenance or modification, including the replacement of machines.	Core	114.0	08/2021	Incumbent
11-3051.01	15415	Review and update standard operating procedures or quality assurance manuals.	Core	59.0	08/2022	Incumbent
11-3051.01	15430	Monitor performance of quality control systems to ensure effectiveness and efficiency.	Core	59.0	08/2022	Incumbent
11-3051.01	15414	Review quality documentation necessary for regulatory submissions and inspections.	Core	59.0	08/2022	Incumbent
