role,alpha,total,steered_missing,steered_malformed,steered_duplicate,baseline_missing,baseline_malformed,assistant_axis_missing,assistant_axis_malformed,assistant_axis_duplicate
aberration,1.0,228,0,0,0,0,228,0,0,0
aberration,1.5,228,0,0,0,0,228,0,0,0
aberration,2.0,228,0,0,0,0,228,0,0,0
aberration,2.5,228,0,0,0,0,0,0,0,0
absurdist,1.0,228,0,0,0,0,228,0,0,0
absurdist,1.5,228,0,0,0,0,228,0,0,0
absurdist,2.0,228,0,0,0,0,228,0,0,0
absurdist,2.5,228,0,0,0,0,0,0,0,0
accountant,1.0,228,0,0,0,0,228,0,0,0
accountant,1.5,228,0,0,0,0,228,0,0,0
accountant,2.0,228,0,0,0,0,228,0,0,0
accountant,2.5,228,0,0,0,0,0,0,0,0
activist,1.0,229,229,0,0,229,0,0,0,0
activist,1.5,229,229,0,0,229,0,0,0,0
activist,2.0,229,229,0,0,229,0,0,0,0
activist,2.5,228,0,0,0,0,0,0,0,0
actor,1.0,228,0,0,0,0,228,0,0,0
actor,1.5,228,0,0,0,0,228,0,0,0
actor,2.0,228,0,0,0,0,228,0,0,0
actor,2.5,228,0,0,0,0,0,0,0,0
addict,1.0,229,229,0,0,0,0,0,0,0
addict,1.5,229,229,0,0,0,0,0,0,0
addict,2.0,229,229,0,0,0,0,0,0,0
addict,2.5,228,0,0,0,0,0,0,0,0
adolescent,1.0,229,229,0,0,229,0,0,0,0
adolescent,1.5,229,229,0,0,229,0,0,0,0
adolescent,2.0,229,229,0,0,229,0,0,0,0
adolescent,2.5,228,0,0,0,0,0,0,0,0
advocate,1.0,228,0,0,0,0,0,0,0,0
advocate,1.5,228,0,0,0,0,0,0,0,0
advocate,2.0,228,0,0,0,0,0,0,0,0
advocate,2.5,228,0,0,0,0,0,0,0,0
alien,1.0,228,0,0,0,0,228,0,0,0
alien,1.5,228,0,0,0,0,228,0,0,0
alien,2.0,228,0,0,0,0,228,0,0,0
alien,2.5,228,0,0,0,0,0,0,0,0
altruist,1.5,229,229,0,0,229,0,0,0,0
altruist,2.0,229,229,0,0,229,0,0,0,0
altruist,2.5,228,0,0,0,0,0,0,0,0
amateur,1.0,228,0,0,0,0,228,0,0,0
amateur,1.5,228,0,0,0,0,228,0,0,0
amateur,2.0,228,0,0,0,0,228,0,0,0
amateur,2.5,228,0,0,0,0,0,0,0,0
ambassador,1.0,228,0,0,0,0,228,0,0,0
ambassador,1.5,228,0,0,0,0,228,0,0,0
ambassador,2.0,228,0,0,0,0,228,0,0,0
ambassador,2.5,228,0,0,0,0,0,0,0,0
amnesiac,1.0,228,0,0,0,0,228,0,0,0
amnesiac,1.5,228,0,0,0,0,228,0,0,0
amnesiac,2.0,228,0,0,0,0,228,0,0,0
amnesiac,2.5,228,0,0,0,0,0,0,0,0
analyst,1.0,228,0,0,0,0,0,0,0,0
analyst,1.5,228,0,0,0,0,0,0,0,0
analyst,2.0,228,0,0,0,0,0,0,0,0
analyst,2.5,228,0,0,0,0,0,0,0,0
anarchist,1.0,228,0,0,0,0,228,0,228,0
anarchist,1.5,228,0,0,0,0,228,0,228,0
anarchist,2.0,228,0,0,0,0,228,0,228,0
anarchist,2.5,228,0,0,0,0,0,0,0,0
ancient,1.0,228,0,0,0,0,228,0,0,0
ancient,1.5,228,0,0,0,0,228,0,0,0
ancient,2.0,228,0,0,0,0,228,0,0,0
ancient,2.5,228,0,0,0,0,0,0,0,0
angel,1.0,228,0,0,0,0,228,0,0,0
angel,1.5,228,0,0,0,0,228,0,0,0
angel,2.0,228,0,0,0,0,228,0,0,0
angel,2.5,228,0,0,0,0,0,0,0,0
anthropologist,1.0,228,0,0,0,0,228,0,0,0
anthropologist,1.5,228,0,0,0,0,228,0,0,0
anthropologist,2.0,228,0,0,0,0,228,0,0,0
anthropologist,2.5,228,0,0,0,0,0,0,0,0
archaeologist,1.0,228,0,0,0,0,228,0,228,0
archaeologist,1.5,228,0,0,0,0,228,0,228,0
archaeologist,2.0,228,0,0,0,0,228,0,228,0
archaeologist,2.5,228,0,0,0,0,0,0,0,0
architect,1.0,229,164,0,0,164,0,0,0,0
architect,1.5,229,165,0,0,165,0,0,0,0
architect,2.0,229,165,0,0,165,0,0,0,0
architect,2.5,228,0,0,0,0,0,0,0,0
archivist,1.0,228,0,0,0,0,0,0,0,0
archivist,1.5,228,0,0,0,0,0,0,0,0
archivist,2.0,228,0,0,0,0,0,0,0,0
archivist,2.5,228,0,0,0,0,0,0,0,0
artisan,1.0,229,229,0,0,229,0,0,0,0
artisan,1.5,229,229,0,0,229,0,0,0,0
artisan,2.0,229,229,0,0,229,0,0,0,0
artisan,2.5,228,0,0,0,0,0,0,0,0
ascetic,1.0,228,0,0,0,0,228,0,0,0
ascetic,1.5,228,0,0,0,0,228,0,0,0
ascetic,2.0,228,0,0,0,0,228,0,0,0
ascetic,2.5,228,0,0,0,0,0,0,0,0
assistant,1.0,228,0,0,0,0,0,0,0,0
assistant,1.5,228,0,0,0,0,0,0,0,0
assistant,2.0,228,0,0,0,0,0,0,0,0
assistant,2.5,228,0,0,0,0,0,0,0,0
auctioneer,1.0,228,0,0,0,0,228,0,0,0
auctioneer,1.5,228,0,0,0,0,228,0,0,0
auctioneer,2.0,228,0,0,0,0,228,0,0,0
auctioneer,2.5,228,0,0,0,0,0,0,0,0
auditor,1.0,228,0,0,0,0,228,0,0,0
auditor,1.5,228,0,0,0,0,228,0,0,0
auditor,2.0,228,0,0,0,0,228,0,0,0
auditor,2.5,228,0,0,0,0,0,0,0,0
avatar,1.0,228,0,0,0,0,228,0,0,0
avatar,1.5,228,0,0,0,0,228,0,0,0
avatar,2.0,228,0,0,0,0,228,0,0,0
avatar,2.5,228,0,0,0,0,0,0,0,0
bard,1.0,228,0,0,0,0,228,0,0,0
bard,1.5,228,0,0,0,0,228,0,0,0
bard,2.0,228,0,0,0,0,228,0,0,0
bard,2.5,228,0,0,0,0,0,0,0,0
bartender,1.0,228,0,0,0,0,228,0,0,0
bartender,1.5,228,0,0,0,0,228,0,0,0
bartender,2.0,228,0,0,0,0,228,0,0,0
bartender,2.5,228,0,0,0,0,0,0,0,0
biologist,1.0,228,0,0,0,0,228,0,0,0
biologist,1.5,228,0,0,0,0,228,0,0,0
biologist,2.0,228,0,0,0,0,228,0,0,0
biologist,2.5,228,0,0,0,0,0,0,0,0
blogger,1.0,228,0,0,0,0,228,0,0,0
blogger,1.5,228,0,0,0,0,228,0,0,0
blogger,2.0,228,0,0,0,0,228,0,0,0
blogger,2.5,228,0,0,0,0,0,0,0,0
bohemian,1.0,228,0,0,0,0,228,0,0,0
bohemian,1.5,228,0,0,0,0,228,0,0,0
bohemian,2.0,228,0,0,0,0,228,0,0,0
bohemian,2.5,228,0,0,0,0,0,0,0,0
builder,1.0,228,0,0,0,0,228,0,0,0
builder,1.5,228,0,0,0,0,228,0,0,0
builder,2.0,228,0,0,0,0,228,0,0,0
builder,2.5,228,0,0,0,0,0,0,0,0
caregiver,1.0,229,174,0,0,174,0,0,0,0
caregiver,1.5,229,174,0,0,174,0,0,0,0
caregiver,2.0,229,174,0,0,174,0,0,0,0
caregiver,2.5,228,0,0,0,0,0,0,0,0
cartographer,1.0,228,0,0,0,0,115,0,0,0
cartographer,1.5,228,0,0,0,0,115,0,0,0
cartographer,2.0,228,0,0,0,0,115,0,0,0
cartographer,2.5,228,0,0,0,0,0,0,0,0
caveman,1.0,228,0,0,0,0,129,0,129,99
caveman,1.5,228,0,0,0,0,129,0,129,99
caveman,2.0,228,0,0,0,0,129,0,129,99
caveman,2.5,228,0,0,0,0,0,0,0,99
celebrity,1.0,228,0,0,0,0,83,0,83,145
celebrity,1.5,228,0,0,0,0,83,0,83,145
celebrity,2.0,228,0,0,0,0,83,0,83,145
celebrity,2.5,229,0,0,0,0,0,0,0,145
chameleon,1.0,228,25,0,0,25,58,0,0,0
chameleon,1.5,228,26,0,0,26,58,0,0,0
chameleon,2.0,228,26,0,0,26,58,0,0,0
chameleon,2.5,228,26,0,0,26,0,26,0,0
chef,1.0,229,164,0,0,164,0,0,0,0
chef,1.5,229,164,0,0,164,0,0,0,0
chef,2.0,229,164,0,0,164,0,0,0,0
chef,2.5,229,164,0,0,164,0,164,0,0
chemist,1.0,228,0,0,0,0,27,0,0,0
chemist,1.5,228,0,0,0,0,27,0,0,0
chemist,2.0,228,0,0,0,0,27,0,0,0
chemist,2.5,229,0,0,0,0,0,0,0,0
chimera,1.0,228,0,0,0,0,8,0,0,0
chimera,1.5,228,0,0,0,0,8,0,0,0
chimera,2.0,228,0,0,0,0,8,0,0,0
chimera,2.5,228,0,0,0,0,0,0,0,0
collaborator,1.0,228,0,0,0,0,0,0,0,0
collaborator,1.5,228,0,0,0,0,0,0,0,0
collaborator,2.0,228,0,0,0,0,0,0,0,0
collaborator,2.5,228,0,0,0,0,0,0,0,0
collector,1.0,228,0,0,0,0,0,0,0,0
collector,1.5,228,0,0,0,0,0,0,0,0
collector,2.0,228,0,0,0,0,0,0,0,0
collector,2.5,228,0,0,0,0,0,0,0,0
comedian,1.0,228,0,0,0,0,0,0,0,0
comedian,1.5,228,0,0,0,0,0,0,0,0
comedian,2.0,228,0,0,0,0,0,0,0,0
comedian,2.5,228,0,0,0,0,0,0,0,0
competitor,1.0,228,0,0,0,0,0,0,0,0
competitor,1.5,228,0,0,0,0,0,0,0,0
competitor,2.0,228,0,0,0,0,0,0,0,0
competitor,2.5,228,0,0,0,0,0,0,0,0
composer,1.0,228,0,0,0,0,0,0,0,0
composer,1.5,228,0,0,0,0,0,0,0,0
composer,2.0,228,0,0,0,0,0,0,0,0
composer,2.5,228,0,0,0,0,0,0,0,0
conservator,1.0,228,0,0,0,0,0,0,0,0
conservator,1.5,228,0,0,0,0,0,0,0,0
conservator,2.0,228,0,0,0,0,0,0,0,0
conservator,2.5,228,0,0,0,0,0,0,0,0
consultant,1.0,228,0,0,0,0,0,0,0,0
consultant,1.5,228,0,0,0,0,0,0,0,0
consultant,2.0,228,0,0,0,0,0,0,0,0
consultant,2.5,228,0,0,0,0,0,0,0,0
contrarian,1.0,228,0,0,0,0,0,0,0,0
contrarian,1.5,228,0,0,0,0,0,0,0,0
contrarian,2.0,228,0,0,0,0,0,0,0,0
contrarian,2.5,228,0,0,0,0,0,0,0,0
coordinator,1.0,228,4,0,0,4,0,0,0,0
coordinator,1.5,228,33,0,0,33,0,0,0,0
coordinator,2.0,229,229,0,0,229,0,0,0,0
coordinator,2.5,229,229,0,0,229,0,229,0,0
coral_reef,1.0,228,0,0,0,0,0,0,0,228
coral_reef,1.5,228,0,0,0,0,0,0,0,228
coral_reef,2.0,228,0,0,0,0,0,0,0,228
coral_reef,2.5,228,0,1,0,0,0,0,0,228
cosmopolitan,1.0,228,0,0,0,0,0,0,0,0
cosmopolitan,1.5,228,0,0,0,0,0,0,0,0
cosmopolitan,2.0,228,0,0,0,0,0,0,0,0
cosmopolitan,2.5,228,0,0,0,0,0,0,0,0
counselor,1.0,228,0,0,0,0,0,0,0,0
counselor,1.5,228,0,0,0,0,0,0,0,0
counselor,2.0,228,0,0,0,0,0,0,0,0
counselor,2.5,228,0,0,0,0,0,0,0,0
criminal,1.0,228,0,0,0,0,0,0,0,228
criminal,1.5,228,0,0,0,0,0,0,0,228
criminal,2.0,228,0,0,0,0,0,0,0,228
criminal,2.5,228,0,0,0,0,0,0,0,228
critic,1.0,229,197,0,0,197,0,0,0,0
critic,1.5,229,197,0,0,197,0,0,0,0
critic,2.0,228,197,0,0,197,0,0,0,0
critic,2.5,229,198,0,0,198,0,198,0,0
crystalline,1.0,228,0,0,0,0,0,0,0,0
crystalline,1.5,228,0,0,0,0,0,0,0,0
crystalline,2.0,228,0,0,0,0,0,0,0,0
crystalline,2.5,228,0,0,0,0,0,0,0,0
curator,1.0,228,0,0,0,0,0,0,0,0
curator,1.5,228,0,0,0,0,0,0,0,0
