persona,hits,poses,lexfiles,num_synsets,status,suggested_proxy
aberration,aberration,n,noun.phenomenon; noun.state,3,exact_noun_other,
absurdist,,,,0,absent_exact,absurd / the_absurd / absurdity
accountant,accountant,n,noun.person,1,exact_noun.person,
activist,activist,a; n,adj.all; noun.person,2,exact_noun.person,
actor,actor,n,noun.person,2,exact_noun.person,
addict,addict,n; v,noun.person; verb.consumption,3,exact_noun.person,
adolescent,adolescent,a; n,adj.all; adj.pert; noun.person,5,exact_noun.person,
advocate,advocate,n; v,noun.person; verb.communication,4,exact_noun.person,
alien,alien,a; n; v,adj.all; noun.person; verb.possession,6,exact_noun.person,
altruist,altruist,n,noun.person,1,exact_noun.person,
amateur,amateur,a; n,adj.all; noun.person,4,exact_noun.person,
ambassador,ambassador,n,noun.person,2,exact_noun.person,
amnesiac,amnesiac,a; n,adj.all; noun.person,2,exact_noun.person,
analyst,analyst,n,noun.person,3,exact_noun.person,
anarchist,anarchist,n,noun.person,1,exact_noun.person,
ancient,ancient,a; n,adj.all; noun.person,4,exact_noun.person,
angel,angel,n,noun.object; noun.person,4,exact_noun.person,
anthropologist,anthropologist,n,noun.person,1,exact_noun.person,
archaeologist,archaeologist,n,noun.person,1,exact_noun.person,
architect,architect,n,noun.person,1,exact_noun.person,
archivist,archivist,n,noun.person,1,exact_noun.person,
artisan,artisan,n,noun.person,1,exact_noun.person,
ascetic,ascetic,a; n,adj.all; adj.pert; noun.person,3,exact_noun.person,
assistant,assistant,a; n,adj.all; noun.person,2,exact_noun.person,
auctioneer,auctioneer,n; v,noun.person; verb.possession,2,exact_noun.person,
auditor,auditor,n,noun.person,3,exact_noun.person,
avatar,avatar,n,noun.person,2,exact_noun.person,
bard,bard,n; v,noun.artifact; noun.person; verb.creation,3,exact_noun.person,
bartender,bartender,n,noun.person,1,exact_noun.person,
biologist,biologist,n,noun.person,1,exact_noun.person,
blogger,blogger,n,noun.person,1,exact_noun.person,
bohemian,bohemian,a; n,adj.all; adj.pert; noun.person,5,exact_noun.person,
builder,builder,n,noun.person; noun.substance,3,exact_noun.person,
caregiver,caregiver,n,noun.person,2,exact_noun.person,
cartographer,cartographer,n,noun.person,1,exact_noun.person,
caveman,caveman,n,noun.person,1,exact_noun.person,
celebrity,celebrity,n,noun.person; noun.state,2,exact_noun.person,
chameleon,chameleon,n,noun.animal; noun.object; noun.person,3,exact_noun.person,
chef,chef,n,noun.person,1,exact_noun.person,
chemist,chemist,n,noun.person,2,exact_noun.person,
chimera,chimera,n,noun.cognition; noun.person,2,exact_noun.person,
coach,coach,n; v,noun.artifact; noun.person; verb.communication; verb.motion,7,exact_noun.person,
collaborator,collaborator,n,noun.person,3,exact_noun.person,
collector,collector,n,noun.artifact; noun.object; noun.person,4,exact_noun.person,
comedian,comedian,n,noun.person,2,exact_noun.person,
competitor,competitor,n,noun.person,1,exact_noun.person,
composer,composer,n,noun.person,1,exact_noun.person,
conservator,conservator,n,noun.person,2,exact_noun.person,
consultant,consultant,n,noun.person,1,exact_noun.person,
contrarian,contrarian,n,noun.person,1,exact_noun.person,
coordinator,coordinator,n,noun.person,1,exact_noun.person,
coral_reef,coral_reef,n,noun.object,1,exact_noun_other,
cosmopolitan,cosmopolitan,a; n,adj.all; noun.person,4,exact_noun.person,
counselor,counselor,n,noun.person,3,exact_noun.person,
criminal,criminal,a; n,adj.all; noun.person,4,exact_noun.person,
critic,critic,n,noun.person,3,exact_noun.person,
crystalline,crystalline,a,adj.all,3,exact_non_noun_only,
curator,curator,n,noun.person,1,exact_noun.person,
cyborg,cyborg,n,noun.person,1,exact_noun.person,
cynic,cynic,n,noun.person,2,exact_noun.person,
daredevil,daredevil,a; n,adj.all; noun.person,2,exact_noun.person,
debugger,debugger,n,noun.communication,1,exact_noun_other,
demon,demon,n,noun.person,3,exact_noun.person,
designer,designer,n,noun.person,5,exact_noun.person,
destroyer,destroyer,n,noun.artifact; noun.person,2,exact_noun.person,
detective,detective,n,noun.person,2,exact_noun.person,
devils_advocate,devil's_advocate,n,noun.person,1,exact_noun.person,
dilettante,dilettante,a; n,adj.all; noun.person,2,exact_noun.person,
dispatcher,dispatcher,n,noun.person,2,exact_noun.person,
divorcee,divorcee,n,noun.person,1,exact_noun.person,
doctor,doctor,n; v,noun.act; noun.person; verb.body; verb.change,7,exact_noun.person,
dreamer,dreamer,n,noun.person,3,exact_noun.person,
echo,echo,n; v,noun.act; noun.attribute; noun.communication; noun.person; verb.communication; verb.perception; verb.stative,9,exact_noun.person,
economist,economist,n,noun.person,1,exact_noun.person,
ecosystem,ecosystem,n,noun.group,1,exact_noun_other,
editor,editor,n,noun.communication; noun.person,2,exact_noun.person,
egregore,,,,0,absent_exact,
elder,elder,a; n,adj.all; noun.person; noun.plant,4,exact_noun.person,
eldritch,eldritch,a,adj.all,1,exact_non_noun_only,
emissary,emissary,n,noun.person,1,exact_noun.person,
empath,,,,0,absent_exact,empathy / empathic / empathetic
engineer,engineer,n; v,noun.person; verb.cognition,4,exact_noun.person,
entrepreneur,entrepreneur,n,noun.person,1,exact_noun.person,
evaluator,evaluator,n,noun.person,1,exact_noun.person,
evangelist,evangelist,n,noun.person,2,exact_noun.person,
examiner,examiner,n,noun.person,2,exact_noun.person,
exile,exile,n; v,noun.act; noun.person; verb.social,4,exact_noun.person,
expatriate,expatriate,n; v,noun.person; verb.change; verb.social,3,exact_noun.person,
facilitator,facilitator,n,noun.person,1,exact_noun.person,
familiar,familiar,a; n,adj.all; noun.person,7,exact_noun.person,
fixer,fixer,n,noun.artifact; noun.person; noun.substance,4,exact_noun.person,
flaneur,,,,0,absent_exact,
fool,fool,n; v,noun.person; verb.communication; verb.consumption; verb.social,7,exact_noun.person,
forecaster,forecaster,n,noun.person,1,exact_noun.person,
futurist,futurist,a; n,adj.pert; noun.person,3,exact_noun.person,
gamer,,,,0,absent_exact,player / game_player? / gambler (not equivalent)
generalist,generalist,n,noun.person,1,exact_noun.person,
genie,genie,n,noun.person,1,exact_noun.person,
geographer,geographer,n,noun.person,1,exact_noun.person,
ghost,ghost,n; v,noun.cognition; noun.communication; noun.person; verb.creation; verb.emotion; verb.motion,7,exact_noun.person,
golem,golem,n,noun.artifact; noun.person,2,exact_noun.person,
gossip,gossip,n; v,noun.communication; noun.person; verb.communication,5,exact_noun.person,
grader,grader,n,noun.person,1,exact_noun.person,
graduate,graduate,a; n; v,adj.all; noun.artifact; noun.person; verb.change; verb.possession,6,exact_noun.person,
grandparent,grandparent,n,noun.person,1,exact_noun.person,
guardian,guardian,n,noun.person,1,exact_noun.person,
guide,guide,n; v,noun.artifact; noun.cognition; noun.communication; noun.person; verb.contact; verb.motion; verb.perception; verb.social,11,exact_noun.person,
guru,guru,n,noun.person,3,exact_noun.person,
hacker,hacker,n,noun.person,3,exact_noun.person,
healer,healer,n,noun.person,1,exact_noun.person,
hedonist,hedonist,n,noun.person,1,exact_noun.person,
hermit,hermit,n,noun.person,2,exact_noun.person,
historian,historian,n,noun.person,1,exact_noun.person,
hive,hive,n; v,noun.artifact; noun.group; noun.object; verb.contact; verb.motion; verb.possession,6,exact_noun_other,
hoarder,hoarder,n,noun.person,1,exact_noun.person,
homunculus,homunculus,n,noun.person,2,exact_noun.person,
hybrid,hybrid,a; n,adj.all; noun.animal; noun.artifact; noun.cognition; noun.communication,5,exact_noun_other,
idealist,idealist,n,noun.person,1,exact_noun.person,
immigrant,immigrant,n,noun.person,1,exact_noun.person,
improviser,,,,0,absent_exact,improvise / improvisation
infant,infant,n,noun.person,1,exact_noun.person,
influencer,influencer,n,noun.person,1,exact_noun.person,
instructor,instructor,n,noun.person,1,exact_noun.person,
interpreter,interpreter,n,noun.communication; noun.person,4,exact_noun.person,
interviewer,interviewer,n,noun.person,1,exact_noun.person,
jester,jester,n,noun.person,1,exact_noun.person,
journalist,journalist,n,noun.person,2,exact_noun.person,
judge,judge,n; v,noun.person; verb.cognition; verb.communication; verb.social,7,exact_noun.person,
king,king,n,noun.artifact; noun.person; noun.state,11,exact_noun.person,
lawyer,lawyer,n,noun.person,1,exact_noun.person,
leviathan,leviathan,n,noun.person,2,exact_noun.person,
librarian,librarian,n,noun.person,1,exact_noun.person,
linguist,linguist,n,noun.person,2,exact_noun.person,
loner,loner,n,noun.person,1,exact_noun.person,
luddite,luddite,n,noun.person,2,exact_noun.person,
man,man,n; v,noun.animal; noun.artifact; noun.location; noun.person; verb.competition; verb.social,13,exact_noun.person,
marketer,marketer,n,noun.person,1,exact_noun.person,
martyr,martyr,n; v,noun.person; verb.body; verb.contact,4,exact_noun.person,
mathematician,mathematician,n,noun.person,1,exact_noun.person,
maverick,maverick,a; n,adj.all; noun.animal; noun.person,3,exact_noun.person,
mechanic,mechanic,a; n,adj.all; noun.person,3,exact_noun.person,
mediator,mediator,n,noun.person,1,exact_noun.person,
mentor,mentor,n; v,noun.person; verb.communication,2,exact_noun.person,
merchant,merchant,n,noun.person,1,exact_noun.person,
minimalist,minimalist,a; n,adj.all; adj.pert; noun.person,4,exact_noun.person,
moderator,moderator,n,noun.person; noun.substance,4,exact_noun.person,
musician,musician,n,noun.person,2,exact_noun.person,
mycorrhizal,,,,0,absent_exact,
mystic,mystic,a; n,adj.all; adj.pert; noun.person,4,exact_noun.person,
narcissist,narcissist,n,noun.person,1,exact_noun.person,
narrator,narrator,n,noun.person,1,exact_noun.person,
naturalist,naturalist,n,noun.person,2,exact_noun.person,
navigator,navigator,n,noun.person,3,exact_noun.person,
negotiator,negotiator,n,noun.person,1,exact_noun.person,
networker,,,,0,absent_exact,network / social_networking_service
newlywed,newlywed,n,noun.person,1,exact_noun.person,
nomad,nomad,n,noun.person,1,exact_noun.person,
novelist,novelist,n,noun.person,1,exact_noun.person,
nutritionist,nutritionist,n,noun.person,1,exact_noun.person,
observer,observer,n,noun.person,2,exact_noun.person,
optimist,optimist,n,noun.person,1,exact_noun.person,
oracle,oracle,n,noun.artifact; noun.communication; noun.person,3,exact_noun.person,
organizer,organizer,n,noun.artifact; noun.person,3,exact_noun.person,
orphan,orphan,n; v,noun.animal; noun.communication; noun.person; verb.possession,5,exact_noun.person,
pacifist,pacifist,a; n,adj.all; noun.person,2,exact_noun.person,
paramedic,paramedic,n,noun.person,1,exact_noun.person,
parasite,parasite,n,noun.animal; noun.person,2,exact_noun.person,
parent,parent,n; v,noun.Tops; noun.person; verb.social,3,exact_noun.person,
patient,patient,a; n,adj.all; noun.communication; noun.person,3,exact_noun.person,
peacekeeper,peacekeeper,n,noun.artifact; noun.person,3,exact_noun.person,
perfectionist,perfectionist,n,noun.person,1,exact_noun.person,
pharmacist,pharmacist,n,noun.person,1,exact_noun.person,
philosopher,philosopher,n,noun.person,2,exact_noun.person,
photographer,photographer,n,noun.person,1,exact_noun.person,
